"source","destination","compatibility"
"r4.8xlarge","c5a.large","false"
"i3.large","m5a.8xlarge","false"
"c5d.9xlarge","c6i.16xlarge","false"
"c5a.24xlarge","h1.8xlarge","false"
"c5.9xlarge","i3.large","false"
"m5.large","c6i.large","false"
"r4.large","c5d.9xlarge","false"
"r4.large","c6i.large","false"
"c6i.16xlarge","x1e.xlarge","false"
"r4.8xlarge","h1.8xlarge","false"
"h1.2xlarge","x1e.xlarge","false"
"r4.16xlarge","c5a.24xlarge","false"
"m5a.8xlarge","c6i.large","false"
"m4.16xlarge","c5.9xlarge","false"
"h1.2xlarge","r4.16xlarge","true"
"x1e.xlarge","c5.9xlarge","false"
"h1.16xlarge","h1.8xlarge","true"
"c6a.24xlarge","c5.9xlarge","false"
"c6a.large","m5n.large","false"
"r4.16xlarge","h1.2xlarge","false"
"c6i.large","c4.8xlarge","false"
"h1.8xlarge","c4.8xlarge","false"
"m5a.8xlarge","c5d.9xlarge","false"
"h1.8xlarge","c6i.large","false"
"r4.large","h1.8xlarge","false"
"c5a.large","h1.16xlarge","false"
"c5.9xlarge","h1.2xlarge","false"
"c6i.large","h1.8xlarge","false"
"m5n.large","c5d.9xlarge","false"
"r4.8xlarge","m5.large","false"
"m5a.large","c5a.24xlarge","true"
"c5.9xlarge","r4.large","false"
"m5a.large","r4.16xlarge","false"
"c6i.large","r4.16xlarge","false"
"c6i.16xlarge","r4.8xlarge","false"
"h1.2xlarge","c5.large","false"
"m5zn.6xlarge","m5a.8xlarge","false"
"c6a.large","r4.16xlarge","false"
"c6a.24xlarge","m5a.8xlarge","false"
"c5d.9xlarge","h1.2xlarge","false"
"h1.8xlarge","h1.16xlarge","true"
"x1e.8xlarge","m4.16xlarge","true"
"m4.large","h1.8xlarge","true"
"m5.large","m4.16xlarge","false"
"m5zn.6xlarge","h1.16xlarge","false"
"h1.8xlarge","c5a.large","false"
"c5a.24xlarge","c4.8xlarge","false"
"x1e.8xlarge","m5.large","false"
"m5zn.6xlarge","c6i.large","false"
"c5.large","m5zn.6xlarge","true"
"h1.2xlarge","m5.large","false"
"h1.2xlarge","h1.16xlarge","true"
"h1.16xlarge","r4.16xlarge","true"
"h1.16xlarge","c6a.24xlarge","false"
"m5a.large","c5a.large","true"
"x1e.8xlarge","m4.large","false"
"m5a.2xlarge","c5.9xlarge","false"
"m5zn.6xlarge","m5.large","false"
