"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success"
"m5zn.6xlarge","r4.16xlarge","1179","468138","20873","8370","0","820976","0","3650","0","0","0","3650","259128","13","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T13:21:04","2024-10-14T13:21:21","false"
"m5a.2xlarge","c5a.24xlarge","1217","1451391","32384","16151","0","263919","0","3617","0","0","0","3617","153294","3","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T12:36:29","2024-10-14T12:36:44","true"
"c5.xlarge","m5a.8xlarge","288","292898","18473","8524","0","124906","0","3608","0","0","0","3608","168439","4","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T13:12:56","2024-10-14T13:13:11","false"
"m5a.xlarge","c5d.2xlarge","701","1448728","32538","16393","0","124905","0","3607","0","0","0","3607","127980","5","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T12:34:57","2024-10-14T12:35:12","true"
"i3.xlarge","x1e.8xlarge","513","305265","22457","10837","0","124649","0","3608","0","0","0","3608","121334","4","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T12:50:53","2024-10-14T12:51:26","true"
"c5d.2xlarge","h1.16xlarge","479","268511","19256","8387","0","263919","0","3615","0","0","0","3615","173479","4","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T13:16:10","2024-10-14T13:16:26","false"
"m5a.xlarge","i3.xlarge","701","1448728","32538","16393","0","124905","0","3607","0","0","0","3607","155721","4","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T12:34:57","2024-10-14T12:35:12","true"
"c5a.24xlarge","m4.xlarge","8501","1723394","65102","12226","0","2213672","0","3735","0","0","0","3735","288198","4","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T12:52:55","2024-10-14T12:53:11","true"
"c6i.16xlarge","h1.16xlarge","8882","1853550","28686","6326","0","2213676","0","3734","0","0","0","3734","266001","4","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T13:17:48","2024-10-14T13:18:03","false"
"c6a.xlarge","c5d.9xlarge","413","295182","19149","8831","0","124651","0","3607","0","0","0","3607","172190","7","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T12:41:02","2024-10-14T12:41:17","true"
"m4.16xlarge","m5a.2xlarge","8410","714338","39065","11537","0","2213670","0","3733","0","0","0","3733","2164760","5","2024-10-14T14:20:10","2024-10-14T14:20:19","2024-10-14T14:21:02","2024-10-14T14:21:17","false"
"c6a.24xlarge","m5zn.6xlarge","8974","721873","36148","9139","0","2213674","0","3734","0","0","0","3734","247895","14","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T12:54:27","2024-10-14T12:54:42","true"
"i3.xlarge","m5zn.6xlarge","513","305265","22457","10837","0","124649","0","3608","0","0","0","3608","109459","2","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T12:50:54","2024-10-14T12:51:26","true"
"c6i.16xlarge","c5d.9xlarge","8882","1853550","28686","6326","0","2213676","0","3734","0","0","0","3734","304599","3","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T13:17:48","2024-10-14T13:18:03","true"
"h1.8xlarge","m5a.2xlarge","3110","520476","32849","10697","0","1099515","0","3667","0","0","0","3667","183994","5","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T12:57:26","2024-10-14T12:57:42","true"
"c5a.xlarge","m5a.xlarge","490","299268","24043","11500","0","124906","0","3607","0","0","0","3607","137976","5","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T12:39:32","2024-10-14T12:39:48","true"
"c5d.2xlarge","h1.2xlarge","479","268511","19256","8387","0","263919","0","3615","0","0","0","3615","162370","6","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T13:16:10","2024-10-14T13:16:26","false"
"c6i.xlarge","m5n.xlarge","240","267474","16473","6466","0","124651","0","3606","0","0","0","3606","173313","3","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T13:11:18","2024-10-14T13:11:33","true"
"r4.16xlarge","c6a.xlarge","9204","1886699","42489","11155","0","2213676","0","3735","0","0","0","3735","244884","6","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T13:09:41","2024-10-14T13:09:56","false"
"m4.16xlarge","c5a.xlarge","8678","1882283","41919","11179","0","2213676","0","3735","0","0","0","3735","291296","3","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T13:02:07","2024-10-14T13:06:32","false"
"c5a.xlarge","c4.8xlarge","490","299268","24043","11500","0","124906","0","3607","0","0","0","3607","127932","2","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T12:39:32","2024-10-14T12:39:48","true"
"c5.9xlarge","c5a.xlarge","2252","573448","26897","8789","0","1239052","0","3676","0","0","0","3676","233587","3","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T13:22:43","2024-10-14T13:22:59","false"
"c6a.24xlarge","c5d.9xlarge","8974","721873","36148","9139","0","2213674","0","3734","0","0","0","3734","285616","7","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T12:54:27","2024-10-14T12:54:42","true"
"x1e.8xlarge","r4.xlarge","3424","1487324","63209","12911","0","1099772","0","3666","0","0","0","3666","193794","5","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T13:00:28","2024-10-14T13:00:43","true"
"c6a.xlarge","c5d.2xlarge","413","295182","19149","8831","0","124651","0","3607","0","0","0","3607","146239","2","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T12:41:02","2024-10-14T12:41:17","true"
"r4.16xlarge","h1.16xlarge","9204","1886699","42489","11155","0","2213676","0","3735","0","0","0","3735","249435","4","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T13:09:41","2024-10-14T13:09:56","true"
"c5d.2xlarge","i3.xlarge","479","268511","19256","8387","0","263919","0","3615","0","0","0","3615","171407","4","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T13:16:10","2024-10-14T13:16:26","false"
"x1e.xlarge","x1e.8xlarge","537","311849","24919","11869","0","124906","0","3608","0","0","0","3608","138803","4","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T12:46:29","2024-10-14T12:46:59","true"
"r4.xlarge","m4.xlarge","528","307974","22664","10506","0","124651","0","3607","0","0","0","3607","171117","4","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T12:48:42","2024-10-14T12:48:58","true"
"r4.8xlarge","m5zn.6xlarge","3313","594643","30530","11563","0","1099514","0","3666","0","0","0","3666","172131","2","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T13:07:57","2024-10-14T13:08:13","true"
"c5d.9xlarge","r4.8xlarge","2216","554758","30101","9660","0","1239054","0","3676","0","0","0","3676","244788","3","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T13:19:25","2024-10-14T13:19:41","false"
"m5a.2xlarge","c6i.16xlarge","1217","1451391","32384","16151","0","263919","0","3617","0","0","0","3617","144918","12","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T12:36:29","2024-10-14T12:36:45","true"
"c5a.xlarge","m4.xlarge","490","299268","24043","11500","0","124906","0","3607","0","0","0","3607","170327","4","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T12:39:32","2024-10-14T12:39:47","true"
"m4.16xlarge","c6i.16xlarge","8678","1882283","41919","11179","0","2213676","0","3735","0","0","0","3735","289545","7","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T13:02:07","2024-10-14T13:06:32","true"
"m4.xlarge","c5d.2xlarge","1040","377929","20084","8872","0","124651","0","3607","0","0","0","3607","133762","3","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T12:42:32","2024-10-14T12:42:47","true"
"m4.16xlarge","c5d.9xlarge","8678","1882283","41919","11179","0","2213676","0","3735","0","0","0","3735","313246","2","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T13:02:07","2024-10-14T13:06:33","true"
"m5a.8xlarge","c5d.2xlarge","6463","576015","50047","16832","0","1099770","0","3667","0","0","0","3667","178518","3","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T12:38:01","2024-10-14T12:38:16","true"
"c6a.24xlarge","r4.8xlarge","8974","721873","36148","9139","0","2213674","0","3734","0","0","0","3734","306526","3","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T12:54:27","2024-10-14T12:54:42","true"
"m4.xlarge","x1e.xlarge","1040","377929","20084","8872","0","124651","0","3607","0","0","0","3607","139933","4","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T12:42:32","2024-10-14T12:42:47","true"
"m5a.8xlarge","i3.xlarge","6463","576015","50047","16832","0","1099770","0","3667","0","0","0","3667","185487","3","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T12:38:01","2024-10-14T12:38:16","true"
"c6i.16xlarge","m5a.2xlarge","8882","1853550","28686","6326","0","2213676","0","3734","0","0","0","3734","264409","4","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T13:17:48","2024-10-14T13:18:03","false"
"c6i.16xlarge","i3.xlarge","8882","1853550","28686","6326","0","2213676","0","3734","0","0","0","3734","240228","3","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T13:17:48","2024-10-14T13:18:03","false"
"c5d.2xlarge","c5.9xlarge","479","268511","19256","8387","0","263919","0","3615","0","0","0","3615","186191","3","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T13:16:11","2024-10-14T13:16:26","true"
"h1.16xlarge","m5zn.6xlarge","7802","1858690","46396","11047","0","2213674","0","3734","0","0","0","3734","231972","2","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T12:58:56","2024-10-14T12:59:13","true"
"x1e.8xlarge","h1.2xlarge","3424","1487324","63209","12911","0","1099772","0","3666","0","0","0","3666","218788","5","2024-10-14T12:34:20","2024-10-14T12:34:30","2024-10-14T13:00:28","2024-10-14T13:00:44","true"
