"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success"
"c5a.24xlarge","r4.16xlarge","230","168499","10767","2997","0","4493","0","893","0","0","0","893","61949","6","2024-08-26T13:34:28","2024-08-26T13:34:39","2024-08-26T13:57:38","2024-08-26T13:58:05","true"
"h1.2xlarge","c6i.16xlarge","162","198745","13031","2750","0","4494","0","895","0","0","0","895","68377","11","2024-08-26T13:34:27","2024-08-26T13:34:39","2024-08-26T13:48:54","2024-08-26T13:49:21","true"
"m5n.large","x1e.xlarge","109","180039","12395","2253","0","4493","0","894","0","0","0","894","63091","6","2024-08-26T13:34:27","2024-08-26T13:34:39","2024-08-26T14:17:40","2024-08-26T14:17:57","false"
"m5a.2xlarge","r4.8xlarge","207","201127","18990","4156","0","4493","0","893","0","0","0","893","82446","6","2024-08-26T13:34:27","2024-08-26T13:34:39","2024-08-26T13:37:10","2024-08-26T13:37:31","true"
"c6i.16xlarge","c6i.large","140","233021","12078","1511","0","4494","0","893","0","0","0","893","96917","2","2024-08-26T13:34:27","2024-08-26T13:34:39","2024-08-26T14:21:05","2024-08-26T14:21:22","true"
"r4.8xlarge","m4.large","179","204678","14324","2950","0","4493","0","893","0","0","0","893","90244","6","2024-08-26T13:34:27","2024-08-26T13:34:40","2024-08-26T14:10:51","2024-08-26T14:11:06","false"
"m5a.2xlarge","c6a.large","207","201127","18990","4156","0","4493","0","893","0","0","0","893","53479","5","2024-08-26T13:34:27","2024-08-26T13:34:39","2024-08-26T13:37:10","2024-08-26T13:37:31","true"
"c4.8xlarge","c6a.large","158","214828","15265","3319","0","4493","0","895","0","0","0","895","61540","5","2024-08-26T13:34:27","2024-08-26T13:34:39","2024-08-26T14:01:32","2024-08-26T14:01:53","true"
"m5.large","m5a.8xlarge","150","157442","9212","2320","0","4494","0","894","0","0","0","894","78769","9","2024-08-26T13:34:30","2024-08-26T13:34:40","2024-08-26T14:19:23","2024-08-26T14:19:40","false"
"c6a.large","c4.8xlarge","126","199555","15753","2401","0","4494","0","893","0","0","0","893","81277","4","2024-08-26T13:34:27","2024-08-26T13:34:39","2024-08-26T13:43:50","2024-08-26T13:44:29","false"
