"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success"
"c6i.16xlarge","m5a.8xlarge","183","245260","16165","1729","0","5776","0","967","0","0","0","967","136878","9","2024-08-29T13:40:32","2024-08-29T13:40:41","2024-08-29T14:26:32","2024-08-29T14:26:48","false"
"c5.9xlarge","x1e.8xlarge","203","259425","15844","2850","0","5776","0","969","0","0","0","969","59148","12","2024-08-29T13:40:32","2024-08-29T13:40:41","2024-08-29T14:31:21","2024-08-29T14:31:36","false"
"i3.large","m4.large","173","219903","16973","3045","0","5774","0","966","0","0","0","966","92100","6","2024-08-29T13:40:32","2024-08-29T13:40:41","2024-08-29T13:59:39","2024-08-29T13:59:54","true"
"c6a.24xlarge","m5.large","173","234570","17291","2645","0","5774","0","967","0","0","0","967","89650","5","2024-08-29T13:40:32","2024-08-29T13:40:41","2024-08-29T14:02:58","2024-08-29T14:03:13","true"
"h1.16xlarge","m5zn.6xlarge","167","237704","15700","3015","0","5774","0","965","0","0","0","965","63531","3","2024-08-29T13:40:32","2024-08-29T13:40:41","2024-08-29T14:07:50","2024-08-29T14:08:05","true"
"m4.large","c5.large","129","222389","16849","2520","0","5774","0","967","0","0","0","967","81977","4","2024-08-29T13:40:32","2024-08-29T13:40:41","2024-08-29T13:53:19","2024-08-29T13:53:34","true"
"m5.large","r4.16xlarge","446","207796","12663","2441","0","5776","0","967","0","0","0","967","149037","6","2024-08-29T13:40:32","2024-08-29T13:40:41","2024-08-29T14:24:54","2024-08-29T14:25:10","false"
"m5a.2xlarge","c5d.9xlarge","207","228978","17398","4332","0","5774","0","966","0","0","0","966","84303","10","2024-08-29T13:40:32","2024-08-29T13:40:41","2024-08-29T13:42:48","2024-08-29T13:43:02","true"
"m5.large","i3.large","446","207796","12663","2441","0","5776","0","967","0","0","0","967","180689","6","2024-08-29T13:40:32","2024-08-29T13:40:41","2024-08-29T14:24:54","2024-08-29T14:25:10","false"
"c6i.large","m5a.large","92","202166","10980","1711","0","5776","0","968","0","0","0","968","66247","8","2024-08-29T13:40:32","2024-08-29T13:40:41","2024-08-29T14:20:02","2024-08-29T14:20:17","false"
"c6i.16xlarge","m5.large","183","245260","16165","1729","0","5776","0","967","0","0","0","967","68770","4","2024-08-29T13:40:32","2024-08-29T13:40:41","2024-08-29T14:26:32","2024-08-29T14:26:48","true"
"m5a.2xlarge","h1.16xlarge","207","228978","17398","4332","0","5774","0","966","0","0","0","966","88992","6","2024-08-29T13:40:32","2024-08-29T13:40:41","2024-08-29T13:42:48","2024-08-29T13:43:02","true"
"c6a.large","m5zn.6xlarge","125","213843","16936","2783","0","5774","0","967","0","0","0","967","108040","10","2024-08-29T13:40:32","2024-08-29T13:40:41","2024-08-29T13:47:37","2024-08-29T13:51:56","true"
"c5a.large","i3.large","164","228847","22372","3543","0","5774","0","967","0","0","0","967","84594","6","2024-08-29T13:40:32","2024-08-29T13:40:41","2024-08-29T13:46:00","2024-08-29T13:46:17","true"
"h1.2xlarge","c6a.24xlarge","162","249011","20024","2972","0","5774","0","967","0","0","0","967","56778","5","2024-08-29T13:40:32","2024-08-29T13:40:41","2024-08-29T13:54:49","2024-08-29T13:55:04","true"
"m5zn.6xlarge","m5a.large","96","240720","11453","2457","0","5776","0","967","0","0","0","967","77896","9","2024-08-29T13:40:32","2024-08-29T13:40:41","2024-08-29T14:29:45","2024-08-29T14:30:00","false"
"m5a.2xlarge","c6a.24xlarge","207","228978","17398","4332","0","5774","0","966","0","0","0","966","59180","5","2024-08-29T13:40:32","2024-08-29T13:40:41","2024-08-29T13:42:48","2024-08-29T13:43:02","true"
"m4.16xlarge","h1.16xlarge","187","229223","12537","2957","0","5774","0","967","0","0","0","967","75775","6","2024-08-29T13:40:32","2024-08-29T13:40:41","2024-08-29T14:11:03","2024-08-29T14:15:23","true"
