"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success"
"c5.large","r4.16xlarge","102","189671","14602","2208","0","5776","0","936","0","0","0","936","64885","6","2024-09-03T13:39:39","2024-09-03T13:39:48","2024-09-03T14:20:21","2024-09-03T14:20:36","false"
"m4.16xlarge","m5a.large","141","245125","15410","2948","0","5774","0","937","0","0","0","937","80130","9","2024-09-03T13:39:39","2024-09-03T13:39:48","2024-09-03T14:13:54","2024-09-03T14:14:09","false"
"c5a.large","r4.16xlarge","170","220849","15200","3091","0","5774","0","936","0","0","0","936","84260","6","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T13:49:17","2024-09-03T13:53:42","false"
"r4.16xlarge","x1e.xlarge","180","227774","14417","2795","0","5774","0","936","0","0","0","936","74856","6","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T14:17:08","2024-09-03T14:17:23","true"
"c5.large","c6i.large","102","189671","14602","2208","0","5776","0","936","0","0","0","936","57711","2","2024-09-03T13:39:39","2024-09-03T13:39:48","2024-09-03T14:20:21","2024-09-03T14:20:36","true"
"x1e.xlarge","c5a.24xlarge","184","224520","13648","3247","0","5774","0","936","0","0","0","936","74742","6","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T13:59:36","2024-09-03T13:59:52","false"
"i3.large","m5a.8xlarge","180","211213","15764","2896","0","5774","0","935","0","0","0","935","114254","9","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T14:02:50","2024-09-03T14:03:05","false"
"i3.large","c5d.9xlarge","180","211213","15764","2896","0","5774","0","935","0","0","0","935","118646","4","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T14:02:49","2024-09-03T14:03:05","true"
"c5a.large","r4.8xlarge","170","220849","15200","3091","0","5774","0","936","0","0","0","936","82472","6","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T13:49:17","2024-09-03T13:53:42","false"
"m5a.2xlarge","i3.large","211","222746","18473","4191","0","5774","0","936","0","0","0","936","81852","10","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T13:46:06","2024-09-03T13:46:21","false"
"h1.2xlarge","c5a.large","165","217014","15107","2862","0","5774","0","936","0","0","0","936","53855","6","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T13:58:08","2024-09-03T13:58:23","true"
"c4.8xlarge","r4.16xlarge","92","224510","14951","2218","0","5774","0","936","0","0","0","936","107555","12","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T14:07:44","2024-09-03T14:08:00","true"
"c5a.24xlarge","m5a.8xlarge","226","215911","14587","3159","0","5774","0","935","0","0","0","935","108029","9","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T14:04:26","2024-09-03T14:04:41","true"
"m5n.large","x1e.8xlarge","117","196038","16067","2387","0","5776","0","937","0","0","0","937","62277","6","2024-09-03T13:39:39","2024-09-03T13:39:48","2024-09-03T14:21:57","2024-09-03T14:22:13","false"
"c5a.large","m5a.large","170","220849","15200","3091","0","5774","0","936","0","0","0","936","63515","9","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T13:49:17","2024-09-03T13:53:41","true"
"m5n.large","c5a.large","117","196038","16067","2387","0","5776","0","937","0","0","0","937","84081","6","2024-09-03T13:39:39","2024-09-03T13:39:48","2024-09-03T14:21:57","2024-09-03T14:22:12","false"
"i3.large","c6a.large","180","211213","15764","2896","0","5774","0","935","0","0","0","935","104192","6","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T14:02:49","2024-09-03T14:03:05","false"
"c6a.large","h1.16xlarge","126","199672","14562","2642","0","5774","0","935","0","0","0","935","99813","6","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T13:55:03","2024-09-03T13:55:19","false"
"m5.large","h1.2xlarge","110","191757","16470","2342","0","5776","0","937","0","0","0","937","71577","8","2024-09-03T13:39:39","2024-09-03T13:39:48","2024-09-03T14:23:34","2024-09-03T14:23:51","false"
"i3.large","c5a.large","180","211213","15764","2896","0","5774","0","935","0","0","0","935","121290","6","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T14:02:49","2024-09-03T14:03:05","false"
"c5.large","m5.large","102","189671","14602","2208","0","5776","0","936","0","0","0","936","96303","4","2024-09-03T13:39:39","2024-09-03T13:39:48","2024-09-03T14:20:21","2024-09-03T14:20:36","true"
"c6a.large","h1.8xlarge","126","199672","14562","2642","0","5774","0","935","0","0","0","935","89663","6","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T13:55:03","2024-09-03T13:55:19","false"
"m5a.large","m5n.large","234","209856","18585","4267","0","5774","0","935","0","0","0","935","52581","4","2024-09-03T13:39:39","2024-09-03T13:39:48","2024-09-03T13:40:16","2024-09-03T13:44:41","false"
"x1e.8xlarge","c6i.16xlarge","172","225471","13921","3210","0","5774","0","935","0","0","0","935","53094","2","2024-09-03T13:39:39","2024-09-03T13:39:48","2024-09-03T14:12:18","2024-09-03T14:12:33","true"
"m5zn.6xlarge","m5a.large","89","232595","17786","2644","0","5776","0","937","0","0","0","937","69082","9","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T14:28:24","2024-09-03T14:28:40","false"
"m5a.2xlarge","m5a.large","211","222746","18473","4191","0","5774","0","936","0","0","0","936","70628","8","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T13:46:06","2024-09-03T13:46:21","true"
"m5a.2xlarge","m4.16xlarge","211","222746","18473","4191","0","5774","0","936","0","0","0","936","86203","6","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T13:46:06","2024-09-03T13:46:21","false"
"r4.8xlarge","r4.16xlarge","154","233997","13842","2967","0","5774","0","936","0","0","0","936","157059","12","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T14:15:32","2024-09-03T14:15:47","true"
"c5a.24xlarge","m5a.2xlarge","226","215911","14587","3159","0","5774","0","935","0","0","0","935","111539","9","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T14:04:26","2024-09-03T14:04:41","true"
"x1e.8xlarge","h1.8xlarge","172","225471","13921","3210","0","5774","0","935","0","0","0","935","70738","6","2024-09-03T13:39:39","2024-09-03T13:39:48","2024-09-03T14:12:18","2024-09-03T14:12:33","true"
"c4.8xlarge","m5zn.6xlarge","92","224510","14951","2218","0","5774","0","936","0","0","0","936","69776","11","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T14:07:44","2024-09-03T14:07:59","true"
"m5n.large","c6i.16xlarge","117","196038","16067","2387","0","5776","0","937","0","0","0","937","57490","11","2024-09-03T13:39:39","2024-09-03T13:39:48","2024-09-03T14:21:57","2024-09-03T14:22:12","true"
"m5n.large","m5a.8xlarge","117","196038","16067","2387","0","5776","0","937","0","0","0","937","118882","9","2024-09-03T13:39:39","2024-09-03T13:39:48","2024-09-03T14:21:57","2024-09-03T14:22:13","false"
"m5.large","h1.8xlarge","110","191757","16470","2342","0","5776","0","937","0","0","0","937","72242","6","2024-09-03T13:39:39","2024-09-03T13:39:48","2024-09-03T14:23:34","2024-09-03T14:23:51","false"
"r4.large","c5a.large","189","222137","16425","3066","0","5774","0","935","0","0","0","935","70098","6","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T14:01:13","2024-09-03T14:01:28","false"
"r4.16xlarge","c6a.large","180","227774","14417","2795","0","5774","0","936","0","0","0","936","55148","8","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T14:17:08","2024-09-03T14:17:23","false"
"m5.large","c6i.large","110","191757","16470","2342","0","5776","0","937","0","0","0","937","68971","3","2024-09-03T13:39:39","2024-09-03T13:39:48","2024-09-03T14:23:34","2024-09-03T14:23:51","true"
"m5a.2xlarge","c5.9xlarge","211","222746","18473","4191","0","5774","0","936","0","0","0","936","69854","10","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T13:46:06","2024-09-03T13:46:21","false"
"x1e.xlarge","m5a.8xlarge","184","224520","13648","3247","0","5774","0","936","0","0","0","936","64646","9","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T13:59:36","2024-09-03T13:59:52","false"
"c5a.24xlarge","r4.8xlarge","226","215911","14587","3159","0","5774","0","935","0","0","0","935","108333","6","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T14:04:26","2024-09-03T14:04:41","false"
"i3.large","c6a.24xlarge","180","211213","15764","2896","0","5774","0","935","0","0","0","935","114836","6","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T14:02:49","2024-09-03T14:03:05","false"
"r4.large","c5d.9xlarge","189","222137","16425","3066","0","5774","0","935","0","0","0","935","94903","10","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T14:01:13","2024-09-03T14:01:28","true"
"c4.8xlarge","i3.large","92","224510","14951","2218","0","5774","0","936","0","0","0","936","75979","32","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T14:07:44","2024-09-03T14:08:00","true"
"h1.8xlarge","r4.8xlarge","134","234014","14834","2867","0","5774","0","936","0","0","0","936","71527","6","2024-09-03T13:39:39","2024-09-03T13:39:48","2024-09-03T14:09:14","2024-09-03T14:09:30","true"
"c5d.9xlarge","x1e.8xlarge","101","230852","15452","2725","0","5776","0","937","0","0","0","937","77169","6","2024-09-03T13:39:39","2024-09-03T13:39:48","2024-09-03T14:26:49","2024-09-03T14:27:04","false"
"c6i.16xlarge","r4.large","133","237813","16734","1618","0","5776","0","937","0","0","0","937","104578","8","2024-09-03T13:39:39","2024-09-03T13:39:48","2024-09-03T14:25:11","2024-09-03T14:25:29","false"
"r4.8xlarge","h1.8xlarge","154","233997","13842","2967","0","5774","0","936","0","0","0","936","150096","5","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T14:15:32","2024-09-03T14:15:47","true"
"h1.16xlarge","m4.large","160","230875","14581","2974","0","5774","0","936","0","0","0","936","74142","6","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T14:10:45","2024-09-03T14:11:02","true"
"c5.9xlarge","x1e.8xlarge","285","212339","16974","2843","0","5776","0","938","0","0","0","938","63645","6","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T14:30:00","2024-09-03T14:30:15","false"
"m5a.large","m5.large","234","209856","18585","4267","0","5774","0","935","0","0","0","935","62727","4","2024-09-03T13:39:39","2024-09-03T13:39:48","2024-09-03T13:40:16","2024-09-03T13:44:42","false"
"r4.large","x1e.xlarge","189","222137","16425","3066","0","5774","0","935","0","0","0","935","142457","6","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T14:01:13","2024-09-03T14:01:28","true"
"h1.2xlarge","m5n.large","165","217014","15107","2862","0","5774","0","936","0","0","0","936","164975","4","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T13:58:08","2024-09-03T13:58:23","true"
"h1.8xlarge","m5n.large","134","234014","14834","2867","0","5774","0","936","0","0","0","936","64501","4","2024-09-03T13:39:39","2024-09-03T13:39:48","2024-09-03T14:09:14","2024-09-03T14:09:30","true"
"h1.2xlarge","m4.large","165","217014","15107","2862","0","5774","0","936","0","0","0","936","193993","8","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T13:58:08","2024-09-03T13:58:23","true"
"m5n.large","c6a.24xlarge","117","196038","16067","2387","0","5776","0","937","0","0","0","937","73078","12","2024-09-03T13:39:39","2024-09-03T13:39:48","2024-09-03T14:21:57","2024-09-03T14:22:12","false"
"c6i.16xlarge","m4.large","133","237813","16734","1618","0","5776","0","937","0","0","0","937","89153","21","2024-09-03T13:39:39","2024-09-03T13:39:48","2024-09-03T14:25:11","2024-09-03T14:25:29","false"
"r4.8xlarge","c6i.16xlarge","154","233997","13842","2967","0","5774","0","936","0","0","0","936","158258","2","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T14:15:32","2024-09-03T14:15:47","true"
"h1.8xlarge","m5.large","134","234014","14834","2867","0","5774","0","936","0","0","0","936","72390","8","2024-09-03T13:39:39","2024-09-03T13:39:48","2024-09-03T14:09:14","2024-09-03T14:09:30","true"
"r4.large","c6a.large","189","222137","16425","3066","0","5774","0","935","0","0","0","935","61155","6","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T14:01:13","2024-09-03T14:01:28","false"
"c6i.16xlarge","r4.8xlarge","133","237813","16734","1618","0","5776","0","937","0","0","0","937","61829","6","2024-09-03T13:39:39","2024-09-03T13:39:48","2024-09-03T14:25:11","2024-09-03T14:25:29","false"
"m4.large","m5a.8xlarge","121","209572","12632","2388","0","5774","0","936","0","0","0","936","125325","9","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T13:56:39","2024-09-03T13:56:54","true"
"c5a.large","c6i.large","170","220849","15200","3091","0","5774","0","936","0","0","0","936","45719","3","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T13:49:17","2024-09-03T13:53:42","true"
"c5a.large","c6a.large","170","220849","15200","3091","0","5774","0","936","0","0","0","936","71184","5","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T13:49:17","2024-09-03T13:53:41","true"
"m5n.large","c5.large","117","196038","16067","2387","0","5776","0","937","0","0","0","937","64590","11","2024-09-03T13:39:39","2024-09-03T13:39:48","2024-09-03T14:21:57","2024-09-03T14:22:12","true"
"m4.large","c5a.24xlarge","121","209572","12632","2388","0","5774","0","936","0","0","0","936","84401","6","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T13:56:39","2024-09-03T13:56:54","true"
"m5a.large","m4.large","210","177463","17989","4322","0","5774","0","936","0","0","0","936","462455","11","2024-09-03T14:42:28","2024-09-03T14:42:37","2024-09-03T14:43:20","2024-09-03T14:43:35","false"
"m5zn.6xlarge","c5a.large","89","232595","17786","2644","0","5776","0","937","0","0","0","937","54914","6","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T14:28:24","2024-09-03T14:28:39","false"
"h1.8xlarge","c5.9xlarge","134","234014","14834","2867","0","5774","0","936","0","0","0","936","120939","4","2024-09-03T13:39:39","2024-09-03T13:39:48","2024-09-03T14:09:14","2024-09-03T14:09:30","true"
"m5a.8xlarge","m5.large","303","229109","18165","4485","0","5774","0","936","0","0","0","936","85565","5","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T13:47:41","2024-09-03T13:47:56","false"
"c4.8xlarge","r4.large","92","224510","14951","2218","0","5774","0","936","0","0","0","936","89150","8","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T14:07:44","2024-09-03T14:08:00","true"
"c6a.24xlarge","m4.16xlarge","332","211455","14801","2549","0","5774","0","936","0","0","0","936","73875","6","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T14:06:03","2024-09-03T14:06:21","false"
"h1.2xlarge","r4.large","165","217014","15107","2862","0","5774","0","936","0","0","0","936","148665","8","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T13:58:08","2024-09-03T13:58:23","true"
"x1e.xlarge","x1e.8xlarge","184","224520","13648","3247","0","5774","0","936","0","0","0","936","76744","6","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T13:59:36","2024-09-03T13:59:52","true"
"c5a.24xlarge","c6i.large","226","215911","14587","3159","0","5774","0","935","0","0","0","935","54188","2","2024-09-03T13:39:39","2024-09-03T13:39:47","2024-09-03T14:04:26","2024-09-03T14:04:41","true"
