"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success"
"c5.xlarge","c5.9xlarge","1093","460770571","235270012","235196527","0","3352166","0","486481","0","0","0","486481","140043054","3","2024-10-14T18:23:03","2024-10-14T18:31:29","2024-10-14T19:56:08","2024-10-14T19:58:39","true"
"c5d.9xlarge","c5a.24xlarge","8231","482426851","1251321","1137901","0","5534910","0","505712","0","0","0","505712","146078274","3","2024-10-14T18:23:04","2024-10-14T18:31:29","2024-10-14T20:14:17","2024-10-14T20:17:01","false"
"r4.16xlarge","c5d.2xlarge","27147","491603174","1773931","1541278","0","7338193","0","541386","0","0","0","541386","156401343","5","2024-10-14T18:23:04","2024-10-14T18:31:29","2024-10-14T19:47:27","2024-10-14T19:50:27","true"
"r4.8xlarge","c6i.xlarge","11812","481928114","1545250","1410361","0","5227730","0","503297","0","0","0","503297","144440575","2","2024-10-14T18:23:03","2024-10-14T18:31:29","2024-10-14T19:43:09","2024-10-14T19:45:55","true"
"c5d.9xlarge","c5d.2xlarge","8231","482426851","1251321","1137901","0","5534910","0","505712","0","0","0","505712","145257928","3","2024-10-14T18:23:04","2024-10-14T18:31:29","2024-10-14T20:14:17","2024-10-14T20:17:01","true"
"m5a.xlarge","m5a.8xlarge","1375","469005612","13714199","13531195","0","3553907","0","486464","0","0","0","486464","140179287","5","2024-10-14T18:23:04","2024-10-14T18:31:30","2024-10-14T18:31:56","2024-10-14T18:34:27","true"
"r4.8xlarge","c6a.xlarge","11812","481928114","1545250","1410361","0","5227730","0","503297","0","0","0","503297","145577244","3","2024-10-14T18:23:03","2024-10-14T18:31:29","2024-10-14T19:43:09","2024-10-14T19:45:55","false"
"m4.16xlarge","m5n.xlarge","27499","491532556","1730411","1512239","0","7224871","0","541371","0","0","0","541371","156450770","3","2024-10-14T18:23:03","2024-10-14T18:31:29","2024-10-14T19:38:38","2024-10-14T19:41:37","true"
"h1.8xlarge","c4.8xlarge","10443","481543793","1520650","1383393","0","5191635","0","503317","0","0","0","503317","145323690","3","2024-10-14T18:23:03","2024-10-14T18:31:29","2024-10-14T19:25:45","2024-10-14T19:28:30","true"
"m5n.xlarge","i3.xlarge","743","470459433","11681748","11607994","0","3352299","0","486488","0","0","0","486488","140525243","6","2024-10-14T18:23:04","2024-10-14T18:31:29","2024-10-14T20:00:09","2024-10-14T20:02:43","false"
"r4.8xlarge","m5a.xlarge","11812","481928114","1545250","1410361","0","5227730","0","503297","0","0","0","503297","146991096","4","2024-10-14T18:23:03","2024-10-14T18:31:29","2024-10-14T19:43:10","2024-10-14T19:45:55","false"
"c6i.xlarge","x1e.8xlarge","485","439306031","217210123","217125718","0","3349789","0","486482","0","0","0","486482","139057192","4","2024-10-14T18:23:03","2024-10-14T18:31:29","2024-10-14T19:51:59","2024-10-14T19:54:39","false"
"m4.xlarge","r4.xlarge","869","467207267","11570670","11477750","0","3716502","0","486483","0","0","0","486483","140052483","6","2024-10-14T18:23:03","2024-10-14T18:31:29","2024-10-14T18:52:00","2024-10-14T18:54:41","true"
"c5.xlarge","h1.8xlarge","1093","460770571","235270012","235196527","0","3352166","0","486481","0","0","0","486481","141117211","4","2024-10-14T18:23:03","2024-10-14T18:31:29","2024-10-14T19:56:08","2024-10-14T19:58:40","false"
"c6a.xlarge","c5d.2xlarge","671","455578874","235727903","235640511","0","3551926","0","486487","0","0","0","486487","140316820","2","2024-10-14T18:23:03","2024-10-14T18:31:29","2024-10-14T18:48:06","2024-10-14T18:50:38","true"
"h1.2xlarge","m4.16xlarge","2402","472910624","1477835","1347941","0","3486029","0","488913","0","0","0","488913","141440006","4","2024-10-14T18:23:03","2024-10-14T18:31:29","2024-10-14T18:56:04","2024-10-14T18:58:46","true"
"c6a.xlarge","m5zn.6xlarge","671","455578874","235727903","235640511","0","3551926","0","486487","0","0","0","486487","139414492","7","2024-10-14T18:23:03","2024-10-14T18:31:29","2024-10-14T18:48:06","2024-10-14T18:50:39","true"
"m5zn.6xlarge","r4.8xlarge","2804","478486652","1058332","979326","0","4791263","0","498591","0","0","0","498591","143632077","4","2024-10-14T18:23:03","2024-10-14T18:31:29","2024-10-14T20:18:28","2024-10-14T20:22:57","false"
"c5.xlarge","m5a.2xlarge","1093","460770571","235270012","235196527","0","3352166","0","486481","0","0","0","486481","141030980","4","2024-10-14T18:23:03","2024-10-14T18:31:29","2024-10-14T19:56:08","2024-10-14T19:58:40","false"
"r4.16xlarge","i3.xlarge","27147","491603174","1773931","1541278","0","7338193","0","541386","0","0","0","541386","157267104","6","2024-10-14T18:23:04","2024-10-14T18:31:29","2024-10-14T19:47:28","2024-10-14T19:50:27","true"
"m5a.xlarge","r4.xlarge","1375","469005612","13714199","13531195","0","3553907","0","486464","0","0","0","486464","139251901","5","2024-10-14T18:23:04","2024-10-14T18:31:30","2024-10-14T18:31:56","2024-10-14T18:34:27","true"
"m5a.xlarge","c6a.xlarge","1375","469005612","13714199","13531195","0","3553907","0","486464","0","0","0","486464","138227893","4","2024-10-14T18:23:04","2024-10-14T18:31:30","2024-10-14T18:31:56","2024-10-14T18:34:27","true"
"c5d.2xlarge","c4.8xlarge","1243","471324737","10926300","10850060","0","3776900","0","488919","0","0","0","488919","143862782","2","2024-10-14T18:23:03","2024-10-14T18:31:29","2024-10-14T20:04:13","2024-10-14T20:06:59","false"
"m5n.xlarge","c4.8xlarge","743","470459433","11681748","11607994","0","3352299","0","486488","0","0","0","486488","139871835","3","2024-10-14T18:23:04","2024-10-14T18:31:29","2024-10-14T20:00:09","2024-10-14T20:02:43","false"
"r4.xlarge","c5d.9xlarge","1293","471319704","1698167","1589977","0","3532680","0","486452","0","0","0","486452","139392384","7","2024-10-14T18:23:03","2024-10-14T18:31:29","2024-10-14T19:04:10","2024-10-14T19:06:42","true"
