"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success"
"m4.large","c6i.large","161","200306","9079","157","0","693","0","27","0","0","0","27","22805","3","2023-11-09T21:09:55","2023-11-09T21:10:05","2023-11-09T21:20:29","2023-11-09T21:20:48","true"
"r4.16xlarge","m4.16xlarge","193","191164","10808","150","0","693","0","29","0","0","0","29","40197","7","2023-11-09T21:09:55","2023-11-09T21:10:05","2023-11-09T21:43:45","2023-11-09T21:44:03","true"
"x1e.8xlarge","c5d.9xlarge","168","203385","12074","148","0","693","0","29","0","0","0","29","25460","21","2023-11-09T21:09:55","2023-11-09T21:10:06","2023-11-09T21:38:19","2023-11-09T21:38:38","true"
"h1.8xlarge","x1e.xlarge","171","209345","11488","152","0","693","0","27","0","0","0","27","25294","6","2023-11-09T21:09:55","2023-11-09T21:10:05","2023-11-09T21:34:52","2023-11-09T21:35:11","false"
"c6i.16xlarge","c6i.large","415","237445","11707","76","0","693","0","28","0","0","0","28","18178","3","2023-11-09T21:09:55","2023-11-09T21:10:05","2023-11-09T21:52:34","2023-11-09T21:52:53","true"
"h1.16xlarge","m5a.large","171","194825","8163","190","0","693","0","29","0","0","0","29","32499","8","2023-11-09T21:09:55","2023-11-09T21:10:05","2023-11-09T21:36:37","2023-11-09T21:36:56","true"
"m5zn.6xlarge","c5.large","118","199844","11186","100","0","693","0","27","0","0","0","27","20535","3","2023-11-09T21:09:55","2023-11-09T21:10:05","2023-11-09T21:56:05","2023-11-09T21:56:23","true"
"r4.large","m5n.large","175","201577","15076","179","0","693","0","29","0","0","0","29","20419","4","2023-11-09T21:09:55","2023-11-09T21:10:05","2023-11-09T21:25:49","2023-11-09T21:26:07","true"
"m5a.2xlarge","c4.8xlarge","201","156799","8274","221","0","693","0","28","0","0","0","28","33796","6","2023-11-09T21:09:55","2023-11-09T21:10:05","2023-11-09T21:12:40","2023-11-09T21:13:01","false"
"h1.8xlarge","c5a.24xlarge","171","209345","11488","152","0","693","0","27","0","0","0","27","23004","5","2023-11-09T21:09:55","2023-11-09T21:10:05","2023-11-09T21:34:52","2023-11-09T21:35:11","true"
"r4.16xlarge","c6a.24xlarge","193","191164","10808","150","0","693","0","29","0","0","0","29","28566","5","2023-11-09T21:09:55","2023-11-09T21:10:05","2023-11-09T21:43:44","2023-11-09T21:44:02","false"
"m5.large","c6a.large","110","190910","14935","132","0","693","0","28","0","0","0","28","28934","13","2023-11-09T21:09:55","2023-11-09T21:10:05","2023-11-09T21:50:48","2023-11-09T21:51:06","false"
"x1e.xlarge","i3.large","162","187263","11566","169","0","693","0","27","0","0","0","27","28144","8","2023-11-09T21:09:55","2023-11-09T21:10:05","2023-11-09T21:24:02","2023-11-09T21:24:20","true"
"r4.16xlarge","c4.8xlarge","193","191164","10808","150","0","693","0","29","0","0","0","29","34139","5","2023-11-09T21:09:55","2023-11-09T21:10:05","2023-11-09T21:43:45","2023-11-09T21:44:02","false"
"m5a.2xlarge","c6a.large","201","156799","8274","221","0","693","0","28","0","0","0","28","23262","5","2023-11-09T21:09:55","2023-11-09T21:10:05","2023-11-09T21:12:40","2023-11-09T21:13:01","true"
"c4.8xlarge","m4.16xlarge","150","215744","8649","147","0","693","0","27","0","0","0","27","37656","6","2023-11-09T21:09:55","2023-11-09T21:10:05","2023-11-09T21:33:04","2023-11-09T21:33:24","true"
"c6i.16xlarge","c5d.9xlarge","415","237445","11707","76","0","693","0","28","0","0","0","28","22782","10","2023-11-09T21:09:55","2023-11-09T21:10:05","2023-11-09T21:52:34","2023-11-09T21:52:53","true"
"m4.large","c5.large","161","200306","9079","157","0","693","0","27","0","0","0","27","22054","4","2023-11-09T21:09:55","2023-11-09T21:10:05","2023-11-09T21:20:29","2023-11-09T21:20:48","true"
"c6a.24xlarge","h1.8xlarge","121","201219","12283","141","0","693","0","28","0","0","0","28","29766","6","2023-11-09T21:09:55","2023-11-09T21:10:05","2023-11-09T21:31:14","2023-11-09T21:31:34","true"
