"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success"
"m5a.8xlarge","h1.8xlarge","63880","1304130","27656","13378","0","10007","0","5159","0","0","0","5159","445286","7","2023-10-05T17:08:32","2023-10-05T17:08:49","2023-10-05T17:13:01","2023-10-05T17:13:16","true"
"r4.16xlarge","x1e.xlarge","20739","1337587","31939","14302","0","9946","0","5160","0","0","0","5160","263156","7","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:49:42","2023-10-05T17:50:26","true"
"m4.16xlarge","m5n.large","48396","1491999","35589","15130","0","9943","0","5159","0","0","0","5159","332783","4","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:44:46","2023-10-05T17:45:07","true"
"r4.large","h1.16xlarge","65339","2072689","37715","14665","0","9943","0","5158","0","0","0","5158","395715","7","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:24:24","2023-10-05T17:24:41","true"
"m5.large","x1e.xlarge","49883","1662865","26931","11971","0","10202","0","5160","0","0","0","5160","1011081","7","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:58:26","2023-10-05T17:58:42","false"
"m5a.8xlarge","r4.8xlarge","63880","1304130","27656","13378","0","10007","0","5159","0","0","0","5159","768993","8","2023-10-05T17:08:32","2023-10-05T17:08:49","2023-10-05T17:13:00","2023-10-05T17:13:15","true"
"m5a.large","m5n.large","47598","1803955","32699","13708","0","10202","0","5160","0","0","0","5160","372108","4","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:09:25","2023-10-05T17:09:39","true"
"c6i.16xlarge","m5.large","2115","341212","20720","7737","0","10011","0","5158","0","0","0","5158","538923","5","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T18:00:26","2023-10-05T18:00:43","true"
"c5a.24xlarge","h1.16xlarge","35613","353648","23097","8370","0","9946","0","5158","0","0","0","5158","407719","7","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:32:29","2023-10-05T17:32:45","true"
"c6a.24xlarge","c5a.large","14355","328085","18841","6700","0","10202","0","5160","0","0","0","5160","302249","3","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:34:21","2023-10-05T17:34:38","true"
"m5a.8xlarge","c6a.24xlarge","63880","1304130","27656","13378","0","10007","0","5159","0","0","0","5159","424460","3","2023-10-05T17:08:32","2023-10-05T17:08:49","2023-10-05T17:13:00","2023-10-05T17:13:15","true"
"x1e.8xlarge","r4.8xlarge","41848","340106","31495","16286","0","10199","0","5159","0","0","0","5159","264995","8","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:42:19","2023-10-05T17:42:43","true"
"m5a.2xlarge","c4.8xlarge","41429","1344336","28875","13174","0","9955","0","5159","0","0","0","5159","1174659","6","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:11:12","2023-10-05T17:11:27","true"
"m5a.large","m4.16xlarge","47598","1803955","32699","13708","0","10202","0","5160","0","0","0","5160","702230","7","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:09:25","2023-10-05T17:09:39","true"
"r4.16xlarge","h1.2xlarge","20739","1337587","31939","14302","0","9946","0","5160","0","0","0","5160","200504","7","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:49:43","2023-10-05T17:50:28","true"
"c4.8xlarge","c6a.large","45694","1915016","34068","15826","0","9943","0","5159","0","0","0","5159","408042","3","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:36:14","2023-10-05T17:36:30","true"
