Feature,Supporting_Groups,Support_Rate,Unsupporting_Groups
3DNOW,21,100.0,0
ADOX_ADCX,14,66.7,7
AES,20,95.2,1
AMD,21,100.0,0
AMD_INVLPGB,21,100.0,0
AMX_AVX512,0,0.0,21
AMX_BF16,4,19.0,17
AMX_COMPLEX,4,19.0,17
AMX_FP16,4,19.0,17
AMX_FP8,0,0.0,21
AMX_INT8,9,42.9,12
AMX_MOVRS,0,0.0,21
AMX_TF32,0,0.0,21
AMX_TILE,0,0.0,21
AMX_TRANSPOSE,0,0.0,21
AMX_TRANSPOSE_BF16,0,0.0,21
AMX_TRANSPOSE_COMPLEX,0,0.0,21
AMX_TRANSPOSE_FP16,0,0.0,21
AMX_TRANSPOSE_MOVRS,0,0.0,21
AMX_TRANSPOSE_TF32,0,0.0,21
APX_F,0,0.0,21
APX_F_ADX,0,0.0,21
APX_F_AMX,0,0.0,21
APX_F_AMX_MOVRS,0,0.0,21
APX_F_AMX_TRANSPOSE,0,0.0,21
APX_F_AMX_TRANSPOSE_MOVRS,0,0.0,21
APX_F_BMI1,0,0.0,21
APX_F_BMI2,0,0.0,21
APX_F_CET,0,0.0,21
APX_F_CMPCCXADD,0,0.0,21
APX_F_ENQCMD,0,0.0,21
APX_F_INVPCID,0,0.0,21
APX_F_KOPB,0,0.0,21
APX_F_KOPD,0,0.0,21
APX_F_KOPQ,0,0.0,21
APX_F_KOPW,0,0.0,21
APX_F_LZCNT,0,0.0,21
APX_F_MOVBE,0,0.0,21
APX_F_MOVDIR64B,0,0.0,21
APX_F_MOVDIRI,0,0.0,21
APX_F_MOVRS,0,0.0,21
APX_F_MSR_IMM,0,0.0,21
APX_F_POPCNT,0,0.0,21
APX_F_RAO_INT,0,0.0,21
APX_F_USER_MSR,0,0.0,21
APX_F_VMX,0,0.0,21
AVX,20,95.2,1
AVX10_2_BF16_128,0,0.0,21
AVX10_2_BF16_256,0,0.0,21
AVX10_2_BF16_512,0,0.0,21
AVX10_2_BF16_SCALAR,0,0.0,21
AVX10_MOVRS_128,0,0.0,21
AVX10_MOVRS_256,0,0.0,21
AVX10_MOVRS_512,0,0.0,21
AVX2,19,90.5,2
AVX2GATHER,19,90.5,2
AVX512BW_128,5,23.8,16
AVX512BW_128N,5,23.8,16
AVX512BW_256,5,23.8,16
AVX512BW_512,5,23.8,16
AVX512BW_KOPD,5,23.8,16
AVX512BW_KOPQ,5,23.8,16
AVX512CD_128,5,23.8,16
AVX512CD_256,5,23.8,16
AVX512CD_512,5,23.8,16
AVX512DQ_128,5,23.8,16
AVX512DQ_128N,5,23.8,16
AVX512DQ_256,5,23.8,16
AVX512DQ_512,5,23.8,16
AVX512DQ_KOPB,5,23.8,16
AVX512DQ_KOPW,5,23.8,16
AVX512DQ_SCALAR,5,23.8,16
AVX512ER_512,0,0.0,21
AVX512ER_SCALAR,0,0.0,21
AVX512F_128,5,23.8,16
AVX512F_128N,5,23.8,16
AVX512F_256,5,23.8,16
AVX512F_512,5,23.8,16
AVX512F_KOPW,5,23.8,16
AVX512F_SCALAR,5,23.8,16
AVX512PF_512,0,0.0,21
AVX512_4FMAPS_512,0,0.0,21
AVX512_4FMAPS_SCALAR,0,0.0,21
AVX512_4VNNIW_512,0,0.0,21
AVX512_BF16_128,1,4.8,20
AVX512_BF16_256,1,4.8,20
AVX512_BF16_512,1,4.8,20
AVX512_BITALG_128,1,4.8,20
AVX512_BITALG_256,1,4.8,20
AVX512_BITALG_512,1,4.8,20
AVX512_COM_EF_SCALAR,0,0.0,21
AVX512_FP16_128,0,0.0,21
AVX512_FP16_128N,0,0.0,21
AVX512_FP16_256,0,0.0,21
AVX512_FP16_512,0,0.0,21
AVX512_FP16_CONVERT_128,0,0.0,21
AVX512_FP16_CONVERT_256,0,0.0,21
AVX512_FP16_CONVERT_512,0,0.0,21
AVX512_FP16_SCALAR,0,0.0,21
AVX512_FP8_CONVERT_128,0,0.0,21
AVX512_FP8_CONVERT_256,0,0.0,21
AVX512_FP8_CONVERT_512,0,0.0,21
AVX512_GFNI_128,1,4.8,20
AVX512_GFNI_256,1,4.8,20
AVX512_GFNI_512,1,4.8,20
AVX512_IFMA_128,1,4.8,20
AVX512_IFMA_256,1,4.8,20
AVX512_IFMA_512,1,4.8,20
AVX512_MEDIAX_128,0,0.0,21
AVX512_MEDIAX_256,0,0.0,21
AVX512_MEDIAX_512,0,0.0,21
AVX512_MINMAX_128,0,0.0,21
AVX512_MINMAX_256,0,0.0,21
AVX512_MINMAX_512,0,0.0,21
AVX512_MINMAX_SCALAR,0,0.0,21
AVX512_MOVZXC_128,0,0.0,21
AVX512_SAT_CVT_128,0,0.0,21
AVX512_SAT_CVT_256,0,0.0,21
AVX512_SAT_CVT_512,0,0.0,21
AVX512_SAT_CVT_DS_128,0,0.0,21
AVX512_SAT_CVT_DS_256,0,0.0,21
AVX512_SAT_CVT_DS_512,0,0.0,21
AVX512_SAT_CVT_DS_SCALAR,0,0.0,21
AVX512_VAES_128,1,4.8,20
AVX512_VAES_256,1,4.8,20
AVX512_VAES_512,1,4.8,20
