ISA_SET,SHORT,INSTRUCTION_BINARY,ERROR
   PPRO,"     nop edx, edi",f30f1efa,
   I86,     jmp 0xc,e907000000,
   LONGMODE,"     movsxd rdi, edi",4863ff,
   I386,     rep stosd dword ptr [rdi],f3ab,
   SSE2,"     movdqa xmm0, xmmword ptr [rsp]",660f6f0424,
   SSE,"     movups xmmword ptr [r12], xmm0",410f110424,
   CMOV,"     cmovnz rbp, r12",490f45ec,
   I186,"     sar rsi, 0x2",48c1fe02,
   FAT_NOP,"     nop dword ptr [rax], eax",0f1f8000000000,
   AVX,"     vpxor xmm0, xmm0, xmm0",c5f9efc0,
   AVX2,"     vpcmpeqd ymm1, ymm0, ymmword ptr [rdi]",c5fd760f,
   BMI1,"     tzcnt eax, eax",f30fbcc0,
   BMI2,"     sarx eax, eax, edx",c4e26af7c0,
   I486REAL,"     lock cmpxchg dword ptr [rdi], edx",f00fb117,
   SSE_PREFETCH,     prefetcht0 zmmword ptr [rsi+0x80],0f188e80000000,
   MOVBE,"     movbe eax, dword ptr [rdi]",0f38f007,
   PAUSE,     pause,f390,
   X87,"     fld st, ptr [rax]",db28,
   SSEMXCSR,     stmxcsr dword ptr [rsp+0x2c],0fae5c242c,
   SSSE3,"     palignr xmm2, xmm1, 0x4",660f3a0fd104,
   SSE42,"     pcmpistri xmm1, xmm1, 0x3a",660f3a63c93a,
   FMA,"     vfmadd132sd xmm1, xmm7, qword ptr [rcx+0x10]",c4e2c1994910,
   XTEST,,,
