"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success"
"c4.8xlarge","m5a.8xlarge","170","212353","13915","577","0","2206","0","164","0","0","0","164","52734","8","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T16:54:37","2023-11-08T16:54:58","true"
"c6i.large","m5zn.6xlarge","79","170675","8923","305","0","2206","0","164","0","0","0","164","40882","10","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T17:12:48","2023-11-08T17:13:03","true"
"h1.8xlarge","i3.large","142","195738","10789","563","0","2206","0","163","0","0","0","163","76307","8","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T16:56:42","2023-11-08T17:01:19","true"
"c6a.large","m5zn.6xlarge","152","182104","8903","487","0","2206","0","164","0","0","0","164","37188","11","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T16:38:58","2023-11-08T16:39:13","true"
"h1.8xlarge","r4.large","142","195738","10789","563","0","2206","0","163","0","0","0","163","41639","8","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T16:56:43","2023-11-08T17:01:20","true"
"c5.9xlarge","x1e.8xlarge","153","194034","12552","525","0","2206","0","164","0","0","0","164","42323","12","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T17:25:42","2023-11-08T17:25:57","false"
"c5.large","m5n.large","98","177990","13094","401","0","2206","0","164","0","0","0","164","34354","5","2023-11-08T16:31:04","2023-11-08T16:31:13","2023-11-08T17:14:41","2023-11-08T17:14:58","true"
"c5a.24xlarge","c5.large","347","193075","10358","566","0","2206","0","164","0","0","0","164","30401","4","2023-11-08T16:31:04","2023-11-08T16:31:13","2023-11-08T16:49:58","2023-11-08T16:50:16","true"
"x1e.xlarge","c5d.9xlarge","186","202007","14399","628","0","2206","0","163","0","0","0","163","31903","4","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T16:44:17","2023-11-08T16:44:32","true"
"r4.8xlarge","m5a.2xlarge","162","193977","10665","526","0","2206","0","164","0","0","0","164","38450","8","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T17:08:55","2023-11-08T17:09:16","false"
"c6i.large","i3.large","79","170675","8923","305","0","2206","0","164","0","0","0","164","73715","8","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T17:12:48","2023-11-08T17:13:04","false"
"c6i.large","c5.9xlarge","79","170675","8923","305","0","2206","0","164","0","0","0","164","50444","4","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T17:12:48","2023-11-08T17:13:03","true"
"m5a.8xlarge","c5d.9xlarge","210","207830","12094","879","0","2206","0","165","0","0","0","165","31565","10","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T16:35:17","2023-11-08T16:35:36","true"
"c6a.24xlarge","m5a.8xlarge","119","197845","13261","462","0","2206","0","165","0","0","0","165","68807","8","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T16:52:10","2023-11-08T16:52:35","true"
"c5a.large","h1.16xlarge","157","192262","10070","599","0","2206","0","164","0","0","0","164","41543","6","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T16:37:09","2023-11-08T16:37:24","true"
"m5.large","h1.8xlarge","108","179392","10076","440","0","2206","0","164","0","0","0","164","39681","5","2023-11-08T16:31:04","2023-11-08T16:31:13","2023-11-08T17:18:22","2023-11-08T17:18:38","false"
"c5a.large","m5a.large","157","192262","10070","599","0","2206","0","164","0","0","0","164","38781","8","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T16:37:09","2023-11-08T16:37:24","true"
"r4.16xlarge","r4.8xlarge","170","203212","13616","552","0","2206","0","165","0","0","0","165","42960","6","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T17:10:59","2023-11-08T17:11:14","true"
"h1.16xlarge","r4.8xlarge","171","191625","13189","532","0","2206","0","164","0","0","0","164","49777","5","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T17:03:00","2023-11-08T17:03:16","true"
"c5.large","r4.large","98","177990","13094","401","0","2206","0","164","0","0","0","164","40240","11","2023-11-08T16:31:04","2023-11-08T16:31:13","2023-11-08T17:14:41","2023-11-08T17:14:58","false"
"c5a.24xlarge","c4.8xlarge","347","193075","10358","566","0","2206","0","164","0","0","0","164","32346","5","2023-11-08T16:31:04","2023-11-08T16:31:13","2023-11-08T16:49:58","2023-11-08T16:50:16","false"
"r4.8xlarge","h1.16xlarge","162","193977","10665","526","0","2206","0","164","0","0","0","164","42270","6","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T17:08:55","2023-11-08T17:09:16","true"
"r4.large","c6i.16xlarge","178","174118","9558","749","0","2206","0","165","0","0","0","165","43702","3","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T16:46:06","2023-11-08T16:46:24","true"
"r4.16xlarge","c6i.large","170","203212","13616","552","0","2206","0","165","0","0","0","165","29685","2","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T17:10:59","2023-11-08T17:11:14","true"
"c4.8xlarge","m4.16xlarge","170","212353","13915","577","0","2206","0","164","0","0","0","164","44743","6","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T16:54:37","2023-11-08T16:54:58","true"
"m4.large","i3.large","167","180190","9821","608","0","2206","0","164","0","0","0","164","74809","9","2023-11-08T16:31:04","2023-11-08T16:31:13","2023-11-08T16:40:46","2023-11-08T16:41:01","true"
"x1e.xlarge","c5.large","186","202007","14399","628","0","2206","0","163","0","0","0","163","31542","4","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T16:44:17","2023-11-08T16:44:32","true"
"c5.9xlarge","m4.large","153","194034","12552","525","0","2206","0","164","0","0","0","164","41333","8","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T17:25:42","2023-11-08T17:25:58","false"
"c5.large","c6i.large","98","177990","13094","401","0","2206","0","164","0","0","0","164","38565","2","2023-11-08T16:31:04","2023-11-08T16:31:13","2023-11-08T17:14:41","2023-11-08T17:14:58","true"
"i3.large","m5zn.6xlarge","166","205904","11632","612","0","2206","0","165","0","0","0","165","33422","12","2023-11-08T16:31:04","2023-11-08T16:31:13","2023-11-08T16:47:59","2023-11-08T16:48:16","true"
"c6a.large","c6i.large","152","182104","8903","487","0","2206","0","164","0","0","0","164","31421","3","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T16:38:58","2023-11-08T16:39:13","true"
"r4.16xlarge","m5a.2xlarge","170","203212","13616","552","0","2206","0","165","0","0","0","165","36316","8","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T17:10:59","2023-11-08T17:11:15","false"
"m5a.large","c6a.24xlarge","211","155984","10792","815","0","2206","0","165","0","0","0","165","58449","13","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T16:31:40","2023-11-08T16:31:55","true"
"c4.8xlarge","m5.large","170","212353","13915","577","0","2206","0","164","0","0","0","164","34262","5","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T16:54:37","2023-11-08T16:54:58","true"
"x1e.xlarge","m5n.large","186","202007","14399","628","0","2206","0","163","0","0","0","163","36316","4","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T16:44:17","2023-11-08T16:44:32","true"
"r4.large","c5a.24xlarge","178","174118","9558","749","0","2206","0","165","0","0","0","165","30496","6","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T16:46:06","2023-11-08T16:46:24","false"
"x1e.xlarge","c5.9xlarge","186","202007","14399","628","0","2206","0","163","0","0","0","163","50346","11","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T16:44:17","2023-11-08T16:44:32","true"
"r4.16xlarge","c5a.large","170","203212","13616","552","0","2206","0","165","0","0","0","165","42543","5","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T17:10:59","2023-11-08T17:11:14","false"
"c6a.24xlarge","c4.8xlarge","119","197845","13261","462","0","2206","0","165","0","0","0","165","45303","13","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T16:52:10","2023-11-08T16:52:35","false"
"m5zn.6xlarge","x1e.8xlarge","73","175529","10028","369","0","2206","0","163","0","0","0","163","43321","5","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T17:23:52","2023-11-08T17:24:08","false"
"m5.large","c6a.large","108","179392","10076","440","0","2206","0","164","0","0","0","164","49860","5","2023-11-08T16:31:04","2023-11-08T16:31:13","2023-11-08T17:18:22","2023-11-08T17:18:37","false"
"c5.9xlarge","m5.large","153","194034","12552","525","0","2206","0","164","0","0","0","164","38258","4","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T17:25:42","2023-11-08T17:25:58","true"
"h1.16xlarge","x1e.xlarge","171","191625","13189","532","0","2206","0","164","0","0","0","164","35060","6","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T17:03:00","2023-11-08T17:03:16","false"
"c4.8xlarge","c6i.16xlarge","170","212353","13915","577","0","2206","0","164","0","0","0","164","37546","10","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T16:54:37","2023-11-08T16:54:58","true"
"c6a.24xlarge","c6a.large","119","197845","13261","462","0","2206","0","165","0","0","0","165","31529","5","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T16:52:10","2023-11-08T16:52:36","true"
"h1.2xlarge","c5d.9xlarge","177","197299","10727","564","0","2206","0","164","0","0","0","164","30657","10","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T16:42:27","2023-11-08T16:42:42","true"
"h1.2xlarge","m5.large","177","197299","10727","564","0","2206","0","164","0","0","0","164","34703","4","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T16:42:27","2023-11-08T16:42:42","true"
"m5n.large","c5a.large","109","189813","13491","441","0","2206","0","164","0","0","0","164","37379","5","2023-11-08T16:31:04","2023-11-08T16:31:13","2023-11-08T17:16:33","2023-11-08T17:16:48","false"
"m5a.large","m4.16xlarge","211","155984","10792","815","0","2206","0","165","0","0","0","165","49822","6","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T16:31:40","2023-11-08T16:31:56","true"
"c5.large","m5a.large","98","177990","13094","401","0","2206","0","164","0","0","0","164","40149","9","2023-11-08T16:31:04","2023-11-08T16:31:13","2023-11-08T17:14:41","2023-11-08T17:14:58","false"
"c5d.9xlarge","i3.large","94","180930","10080","390","0","2206","0","165","0","0","0","165","75920","8","2023-11-08T16:31:04","2023-11-08T16:31:13","2023-11-08T17:22:03","2023-11-08T17:22:18","false"
"c6i.large","m5a.8xlarge","79","170675","8923","305","0","2206","0","164","0","0","0","164","52155","8","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T17:12:48","2023-11-08T17:13:03","false"
"m5a.2xlarge","m5zn.6xlarge","223","181167","11271","779","0","2206","0","163","0","0","0","163","34526","10","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T16:33:29","2023-11-08T16:33:44","true"
"h1.2xlarge","r4.large","177","197299","10727","564","0","2206","0","164","0","0","0","164","39500","7","2023-11-08T16:31:04","2023-11-08T16:31:12","2023-11-08T16:42:26","2023-11-08T16:42:42","true"
