"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success"
"m4.large","i3.large","284","176853","11018","498","0","78657","0","118","0","0","0","118","32757","7","2023-11-05T16:13:05","2023-11-05T16:13:17","2023-11-05T16:22:54","2023-11-05T16:23:15","true"
"c6i.large","r4.16xlarge","127","153295","7780","249","0","45889","0","114","0","0","0","114","43998","6","2023-11-05T16:13:05","2023-11-05T16:13:15","2023-11-05T16:43:26","2023-11-05T16:43:44","false"
"m5a.large","c6a.24xlarge","388","183737","13146","737","0","78657","0","119","0","0","0","119","43309","6","2023-11-05T16:13:05","2023-11-05T16:13:15","2023-11-05T16:14:02","2023-11-05T16:14:32","true"
"c6i.16xlarge","m4.large","7588","781467","22254","1959","0","2204544","0","1176","0","0","0","1176","311254","7","2023-11-05T16:13:05","2023-11-05T16:13:15","2023-11-05T16:50:54","2023-11-05T16:51:11","false"
"c6i.large","m5n.large","127","153295","7780","249","0","45889","0","114","0","0","0","114","23989","4","2023-11-05T16:13:05","2023-11-05T16:13:15","2023-11-05T16:43:26","2023-11-05T16:43:44","true"
"h1.2xlarge","c5.9xlarge","845","239758","11739","788","0","287559","0","221","0","0","0","221","65652","10","2023-11-05T16:13:05","2023-11-05T16:13:15","2023-11-05T16:24:39","2023-11-05T16:24:58","true"
"r4.large","x1e.xlarge","293","190473","11001","516","0","78657","0","118","0","0","0","118","29821","6","2023-11-05T16:13:05","2023-11-05T16:13:16","2023-11-05T16:28:17","2023-11-05T16:28:34","true"
"m4.16xlarge","c5a.24xlarge","8970","810208","31255","3831","0","2237318","0","1179","0","0","0","1179","611147","6","2023-11-06T15:46:11","2023-11-06T15:46:24","2023-11-06T15:47:21","2023-11-06T15:47:40","false"
"r4.16xlarge","m5a.2xlarge","8529","753822","35852","3783","0","2237321","0","1178","0","0","0","1178","185703","8","2023-11-05T16:13:05","2023-11-05T16:13:15","2023-11-05T16:41:38","2023-11-05T16:41:55","false"
"c6i.large","i3.large","127","153295","7780","249","0","45889","0","114","0","0","0","114","33536","8","2023-11-05T16:13:05","2023-11-05T16:13:15","2023-11-05T16:43:25","2023-11-05T16:43:44","false"
"c6a.large","c5.large","210","167020","11342","427","0","78657","0","118","0","0","0","118","31751","3","2023-11-05T16:13:05","2023-11-05T16:13:15","2023-11-05T16:21:10","2023-11-05T16:21:29","true"
"r4.8xlarge","m5a.large","3278","487868","19756","2200","0","1123167","0","633","0","0","0","633","128100","8","2023-11-05T16:13:05","2023-11-05T16:13:15","2023-11-05T16:39:50","2023-11-05T16:40:10","false"
"c5.9xlarge","c6i.16xlarge","4711","524267","20071","1814","0","1229667","0","698","0","0","0","698","183895","2","2023-11-05T16:13:05","2023-11-05T16:13:15","2023-11-05T16:56:15","2023-11-05T16:56:33","true"
"m5a.2xlarge","c5a.24xlarge","1208","254833","15942","1158","0","287559","0","221","0","0","0","221","36015","5","2023-11-05T16:13:05","2023-11-05T16:13:15","2023-11-05T16:16:00","2023-11-05T16:16:19","true"
"x1e.8xlarge","h1.2xlarge","3498","462643","25010","2339","0","1123167","0","633","0","0","0","633","120338","8","2023-11-05T16:13:05","2023-11-05T16:13:15","2023-11-05T16:37:45","2023-11-05T16:38:02","true"
"m5a.large","m5n.large","388","183737","13146","737","0","78657","0","119","0","0","0","119","24727","4","2023-11-05T16:13:05","2023-11-05T16:13:15","2023-11-05T16:14:03","2023-11-05T16:14:32","true"
"r4.8xlarge","m5zn.6xlarge","3278","487868","19756","2200","0","1123167","0","633","0","0","0","633","85447","3","2023-11-05T16:13:05","2023-11-05T16:13:15","2023-11-05T16:39:49","2023-11-05T16:40:09","true"
"c5.large","m5a.8xlarge","170","171063","10674","358","0","45889","0","116","0","0","0","116","89807","9","2023-11-05T16:13:05","2023-11-05T16:13:15","2023-11-05T16:45:12","2023-11-05T16:45:31","false"
"h1.8xlarge","c5.9xlarge","3248","482590","20194","2050","0","1123167","0","633","0","0","0","633","573135","10","2023-11-06T15:20:59","2023-11-06T15:21:11","2023-11-06T15:22:10","2023-11-06T15:22:29","true"
"r4.8xlarge","m5a.8xlarge","3278","487868","19756","2200","0","1123167","0","633","0","0","0","633","118656","8","2023-11-05T16:13:05","2023-11-05T16:13:15","2023-11-05T16:39:49","2023-11-05T16:40:09","false"
