"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success"
"h1.16xlarge","c6a.large","6329","10189267","52285","30294","0","687136","0","10780","0","0","0","10780","926912","3","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:32:23","2023-05-31T00:32:23","true"
"m4.large","c6i.16xlarge","358","9327126","39530","27450","0","44303","0","10444","0","0","0","10444","849861","2","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:08:40","2023-05-31T00:08:40","true"
"m5n.large","c6a.large","243","9257346","34664","22923","0","44655","0","10474","0","0","0","10474","952306","3","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:57:55","2023-05-31T00:57:55","false"
"c5a.24xlarge","t3.nano","7418","877443","35244","18119","0","687395","0","10782","0","0","0","10782","2357804","5","2023-05-30T23:55:53","2023-05-30T23:56:19","2023-05-31T00:15:42","2023-05-31T00:15:42","true"
"h1.2xlarge","r4.large","1001","9655452","42091","28764","0","113630","0","10520","0","0","0","10520","1074592","10","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:10:00","2023-05-31T00:10:00","true"
"t3a.nano","x1e.xlarge","287","9257813","183169","169077","0","52242","0","10444","0","0","0","10444","810462","8","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-30T23:57:09","2023-05-30T23:57:09","true"
"c4.8xlarge","m5.large","3074","9818745","48793","23115","0","400386","0","10624","0","0","0","10624","869251","4","2023-05-30T23:55:54","2023-05-30T23:56:20","2023-05-31T00:25:48","2023-05-31T00:25:48","true"
"c5.large","m5a.8xlarge","222","9463918","33439","21568","0","44653","0","10474","0","0","0","10474","2013730","4","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:56:35","2023-05-31T00:56:35","false"
"c6i.large","m5a.8xlarge","176","9537708","28157","17520","0","44655","0","10475","0","0","0","10475","838202","5","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:53:46","2023-05-31T00:53:46","false"
"c5a.24xlarge","m4.16xlarge","7418","877443","35244","18119","0","687395","0","10782","0","0","0","10782","2297492","16","2023-05-30T23:55:53","2023-05-30T23:56:19","2023-05-31T00:15:34","2023-05-31T00:15:34","true"
"i3.large","h1.2xlarge","290","9433429","42601","27196","0","44634","0","10443","0","0","0","10443","1098226","8","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:14:14","2023-05-31T00:14:14","true"
"r4.16xlarge","m4.16xlarge","5952","7837980","54389","31753","0","687138","0","10785","0","0","0","10785","1585983","8","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:48:44","2023-05-31T00:48:44","true"
"m4.large","c5.large","358","9327126","39530","27450","0","44303","0","10444","0","0","0","10444","790754","3","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:08:41","2023-05-31T00:08:41","true"
"c6a.large","c5a.24xlarge","153","9107436","23149","12617","0","52244","0","10445","0","0","0","10445","802602","3","2023-05-30T23:55:54","2023-05-30T23:56:20","2023-05-31T00:05:52","2023-05-31T00:05:52","true"
"h1.2xlarge","m4.large","1001","9655452","42091","28764","0","113630","0","10520","0","0","0","10520","526228","7","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:10:00","2023-05-31T00:10:00","true"
"c6i.large","c5a.24xlarge","176","9537708","28157","17520","0","44655","0","10475","0","0","0","10475","427087","3","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:53:45","2023-05-31T00:53:45","false"
"m5a.large","m5.large","280","8646779","37885","24794","0","44292","0","10445","0","0","0","10445","984062","4","2023-05-30T23:55:54","2023-05-30T23:56:20","2023-05-30T23:58:27","2023-05-30T23:58:27","true"
"i3.large","r4.16xlarge","290","9433429","42601","27196","0","44634","0","10443","0","0","0","10443","1592835","7","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:14:14","2023-05-31T00:14:14","true"
