"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success"
"c6i.large","c5d.9xlarge","127","184754507","103220376","103183567","0","4563490","0","261079","0","0","0","261079","58469880","10","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:13:01","2023-11-07T14:14:10","true"
"c5.9xlarge","m5zn.6xlarge","1663","200178766","624046","572499","0","3185139","0","262988","0","0","0","262988","60700051","3","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:42:33","2023-11-07T14:43:56","true"
"m5a.2xlarge","m5.large","196","512624","115817","99860","0","91484","0","25387","0","0","0","25387","5165865","4","2023-11-07T15:42:00","2023-11-07T15:42:10","2023-11-07T15:42:55","2023-11-07T15:43:11","true"
"m5.large","x1e.xlarge","188","198833401","818198","771479","0","4563490","0","261080","0","0","0","261080","55774184","6","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:21:39","2023-11-07T14:26:09","false"
"h1.16xlarge","c6i.16xlarge","44437","668592","94617","79407","0","95731","0","29861","0","0","0","29861","4852649","11","2023-11-07T18:35:45","2023-11-07T18:35:54","2023-11-07T18:36:37","2023-11-07T18:37:06","true"
"m5a.2xlarge","m4.16xlarge","196","512624","115817","99860","0","91484","0","25387","0","0","0","25387","1675890","7","2023-11-07T15:42:00","2023-11-07T15:42:10","2023-11-07T15:42:55","2023-11-07T15:43:11","true"
"m5a.2xlarge","c5.large","196","512624","115817","99860","0","91484","0","25387","0","0","0","25387","1705553","4","2023-11-07T15:42:00","2023-11-07T15:42:10","2023-11-07T15:42:54","2023-11-07T15:43:11","true"
"c5.large","m5n.large","191","193855072","118655463","118609682","0","4563490","0","261079","0","0","0","261079","59160542","4","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:15:54","2023-11-07T14:17:04","true"
"h1.16xlarge","m5n.large","44437","668592","94617","79407","0","95731","0","29861","0","0","0","29861","2563701","5","2023-11-07T18:35:45","2023-11-07T18:35:54","2023-11-07T18:36:37","2023-11-07T18:37:06","true"
"r4.16xlarge","c5a.large","58320","655958","104860","80432","0","95731","0","29863","0","0","0","29863","2532334","6","2023-11-07T19:47:27","2023-11-07T19:47:35","2023-11-07T19:48:18","2023-11-07T19:48:47","false"
"m5a.large","r4.8xlarge","27415","655210","97796","82157","0","79960","0","21242","0","0","0","21242","1633801","5","2023-11-07T15:31:18","2023-11-07T15:31:27","2023-11-07T15:32:13","2023-11-07T15:32:27","true"
"c6i.16xlarge","m5zn.6xlarge","2712","200481937","451181","397648","0","3736092","0","264563","0","0","0","264563","58222587","3","2023-11-07T13:12:27","2023-11-07T13:15:59","2023-11-07T14:27:53","2023-11-07T14:29:03","true"
"c5.9xlarge","c6i.large","1663","200178766","624046","572499","0","3185139","0","262988","0","0","0","262988","60733090","2","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:42:33","2023-11-07T14:43:56","true"
"c5.large","i3.large","191","193855072","118655463","118609682","0","4563490","0","261079","0","0","0","261079","58707999","6","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:15:53","2023-11-07T14:17:04","false"
"c6a.large","x1e.8xlarge","223","188046171","107630873","107547560","0","4563492","0","261078","0","0","0","261078","60392402","6","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:22:58","2023-11-07T13:24:10","true"
"m4.large","c6i.large","300","198984592","848981","784102","0","4563337","0","261029","0","0","0","261029","60123427","2","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:25:48","2023-11-07T13:27:00","true"
"h1.8xlarge","r4.8xlarge","22123","899589","90267","75707","0","91497","0","28543","0","0","0","28543","7528490","5","2023-11-07T18:22:47","2023-11-07T18:22:56","2023-11-07T18:23:40","2023-11-07T18:24:10","true"
"c4.8xlarge","m5a.8xlarge","56769","769031","75896","62134","0","91495","0","26123","0","0","0","26123","1739778","8","2023-11-07T18:11:25","2023-11-07T18:11:34","2023-11-07T18:12:20","2023-11-07T18:12:37","true"
"m5zn.6xlarge","c6a.24xlarge","1220","199413997","512879","471980","0","2948936","0","262312","0","0","0","262312","59207040","5","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:38:35","2023-11-07T14:39:45","false"
"r4.large","c5a.24xlarge","312","199322418","763926","698820","0","4563340","0","261029","0","0","0","261029","58881232","5","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:35:51","2023-11-07T13:37:01","false"
"c5.large","c5a.24xlarge","191","193855072","118655463","118609682","0","4563490","0","261079","0","0","0","261079","57030757","7","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:15:53","2023-11-07T14:17:04","false"
"h1.16xlarge","r4.8xlarge","44437","668592","94617","79407","0","95731","0","29861","0","0","0","29861","7426626","13","2023-11-07T18:35:45","2023-11-07T18:35:54","2023-11-07T18:36:37","2023-11-07T18:37:06","true"
"c5d.9xlarge","c5.9xlarge","73128","1433828","92431","78616","0","289432","0","36033","0","0","0","36033","3065557","10","2023-11-07T20:52:24","2023-11-07T20:52:35","2023-11-07T20:53:17","2023-11-07T20:53:33","true"
"h1.16xlarge","m4.large","44437","668592","94617","79407","0","95731","0","29861","0","0","0","29861","6295933","7","2023-11-07T18:35:45","2023-11-07T18:35:54","2023-11-07T18:36:37","2023-11-07T18:37:06","true"
"h1.2xlarge","c5d.9xlarge","895","199315693","732957","668445","0","2634752","0","261414","0","0","0","261414","58904839","4","2023-11-07T13:12:28","2023-11-07T13:15:59","2023-11-07T13:29:32","2023-11-07T13:30:42","true"
"c5a.24xlarge","c5d.9xlarge","11321","198549436","809723","711395","0","4367841","0","266392","0","0","0","266392","57969059","10","2023-11-07T13:12:26","2023-11-07T13:15:58","2023-11-07T13:41:42","2023-11-07T13:42:52","true"
"m4.large","r4.16xlarge","41732","1023127","87431","73340","0","91494","0","28105","0","0","0","28105","2084203","5","2023-11-07T16:29:37","2023-11-07T16:29:47","2023-11-07T16:30:32","2023-11-07T16:30:47","true"
"m5a.2xlarge","h1.2xlarge","196","512624","115817","99860","0","91484","0","25387","0","0","0","25387","6387640","8","2023-11-07T15:42:00","2023-11-07T15:42:10","2023-11-07T15:42:55","2023-11-07T15:43:11","true"
"c4.8xlarge","r4.8xlarge","56769","769031","75896","62134","0","91495","0","26123","0","0","0","26123","2352103","5","2023-11-07T18:11:25","2023-11-07T18:11:34","2023-11-07T18:12:20","2023-11-07T18:12:37","true"
"r4.large","m5zn.6xlarge","312","199322418","763926","698820","0","4563340","0","261029","0","0","0","261029","60707454","10","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:35:51","2023-11-07T13:37:01","true"
"m5a.8xlarge","m5.large","228","491920","116527","100541","0","91485","0","25929","0","0","0","25929","1579889","5","2023-11-07T15:54:29","2023-11-07T15:54:38","2023-11-07T15:55:22","2023-11-07T15:55:37","true"
"m4.16xlarge","c6a.large","111680","767604","110677","95335","0","259596","0","35369","0","0","0","35369","9064149","5","2023-11-07T19:00:57","2023-11-07T19:01:06","2023-11-07T19:01:50","2023-11-07T19:02:19","false"
"m5zn.6xlarge","m5n.large","1220","199413997","512879","471980","0","2948936","0","262312","0","0","0","262312","59099296","4","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:38:35","2023-11-07T14:39:45","true"
"m5zn.6xlarge","m5a.2xlarge","61872","1063008","64719","52556","0","95719","0","29202","0","0","0","29202","2211067","8","2023-11-07T21:03:14","2023-11-07T21:03:23","2023-11-07T21:04:09","2023-11-07T21:04:23","false"
"c6a.large","h1.2xlarge","223","188046171","107630873","107547560","0","4563492","0","261078","0","0","0","261078","57232324","10","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:22:58","2023-11-07T13:24:10","true"
"c6i.16xlarge","r4.large","2712","200481937","451181","397648","0","3736092","0","264563","0","0","0","264563","59451682","8","2023-11-07T13:12:27","2023-11-07T13:15:59","2023-11-07T14:27:53","2023-11-07T14:29:03","false"
"m5a.large","m5a.8xlarge","27415","655210","97796","82157","0","79960","0","21242","0","0","0","21242","1873571","8","2023-11-07T15:31:18","2023-11-07T15:31:27","2023-11-07T15:32:13","2023-11-07T15:32:28","true"
"c6a.large","c5a.24xlarge","223","188046171","107630873","107547560","0","4563492","0","261078","0","0","0","261078","58680102","6","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:22:58","2023-11-07T13:24:10","true"
"c6a.24xlarge","c5a.24xlarge","8308","1203071","78434","64866","0","95727","0","30521","0","0","0","30521","2847659","6","2023-11-07T18:00:25","2023-11-07T18:00:35","2023-11-07T18:01:19","2023-11-07T18:01:34","true"
"x1e.xlarge","h1.16xlarge","127","1136711","99136","83938","0","95726","0","29233","0","0","0","29233","2373202","6","2023-11-07T16:51:28","2023-11-07T16:51:37","2023-11-07T16:52:21","2023-11-07T16:52:36","true"
"i3.large","m5zn.6xlarge","325","199408361","758036","693120","0","4563342","0","261029","0","0","0","261029","61679067","11","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:38:45","2023-11-07T13:39:56","true"
"m5.large","c5a.24xlarge","188","198833401","818198","771479","0","4563490","0","261080","0","0","0","261080","53774436","6","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:21:39","2023-11-07T14:26:10","false"
"c6i.16xlarge","c5.large","2712","200481937","451181","397648","0","3736092","0","264563","0","0","0","264563","58802325","4","2023-11-07T13:12:27","2023-11-07T13:15:59","2023-11-07T14:27:53","2023-11-07T14:29:03","true"
"c6i.16xlarge","r4.16xlarge","68700","1337017","64414","52881","0","259595","0","35372","0","0","0","35372","2870145","5","2023-11-07T20:41:46","2023-11-07T20:41:55","2023-11-07T20:42:37","2023-11-07T20:42:53","false"
"i3.large","c6i.large","325","199408361","758036","693120","0","4563342","0","261029","0","0","0","261029","61504966","4","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:38:45","2023-11-07T13:39:56","true"
"m4.16xlarge","c5a.24xlarge","111680","767604","110677","95335","0","259596","0","35369","0","0","0","35369","7959275","6","2023-11-07T19:00:57","2023-11-07T19:01:06","2023-11-07T19:01:50","2023-11-07T19:02:19","false"
"m4.large","i3.large","300","198984592","848981","784102","0","4563337","0","261029","0","0","0","261029","60773131","6","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:25:48","2023-11-07T13:27:00","true"
"m5a.2xlarge","h1.16xlarge","196","512624","115817","99860","0","91484","0","25387","0","0","0","25387","6176183","5","2023-11-07T15:42:00","2023-11-07T15:42:10","2023-11-07T15:42:55","2023-11-07T15:43:11","true"
"r4.large","m5n.large","312","199322418","763926","698820","0","4563340","0","261029","0","0","0","261029","60845387","5","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:35:51","2023-11-07T13:37:01","true"
"r4.16xlarge","c6a.large","58320","655958","104860","80432","0","95731","0","29863","0","0","0","29863","4871151","6","2023-11-07T19:47:27","2023-11-07T19:47:35","2023-11-07T19:48:18","2023-11-07T19:48:47","false"
"c5.9xlarge","m5a.large","1663","200178766","624046","572499","0","3185139","0","262988","0","0","0","262988","62181591","8","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:42:33","2023-11-07T14:43:56","false"
"c5a.24xlarge","r4.8xlarge","286","592805","94090","79595","0","95723","0","29770","0","0","0","29770","2476916","8","2023-11-07T17:49:21","2023-11-07T17:49:33","2023-11-07T17:50:21","2023-11-07T17:50:37","true"
"c5d.9xlarge","m5a.2xlarge","73128","1433828","92431","78616","0","289432","0","36033","0","0","0","36033","3155370","8","2023-11-07T20:52:24","2023-11-07T20:52:35","2023-11-07T20:53:18","2023-11-07T20:53:34","false"
"m4.large","x1e.xlarge","300","198984592","848981","784102","0","4563337","0","261029","0","0","0","261029","60336442","6","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:25:48","2023-11-07T13:27:00","true"
"c5.large","c5d.9xlarge","191","193855072","118655463","118609682","0","4563490","0","261079","0","0","0","261079","57922816","12","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:15:54","2023-11-07T14:17:04","true"
"x1e.xlarge","m5zn.6xlarge","581","199479139","822174","756990","0","2713780","0","261190","0","0","0","261190","60397303","3","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:32:47","2023-11-07T13:33:57","true"
"m5n.large","m5.large","193","198858906","821417","773714","0","4563489","0","261079","0","0","0","261079","59239590","4","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:18:46","2023-11-07T14:19:56","true"
"r4.16xlarge","m5a.large","58320","655958","104860","80432","0","95731","0","29863","0","0","0","29863","7026648","8","2023-11-07T19:47:27","2023-11-07T19:47:35","2023-11-07T19:48:18","2023-11-07T19:48:47","false"
"m5a.large","c4.8xlarge","447","199373222","1299122","1213573","0","4563339","0","261029","0","0","0","261029","55886154","14","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:16:33","2023-11-07T13:17:49","true"
"r4.8xlarge","c4.8xlarge","6663","552850","99285","84339","0","95732","0","30961","0","0","0","30961","7694924","5","2023-11-07T19:14:54","2023-11-07T19:15:03","2023-11-07T19:15:51","2023-11-07T19:16:08","false"
"m5n.large","h1.2xlarge","193","198858906","821417","773714","0","4563489","0","261079","0","0","0","261079","57672684","8","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:18:46","2023-11-07T14:19:55","false"
