"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success"
"c6a.large","m4.16xlarge","136","216277","17052","179","0","19128","0","35","0","0","0","35","34395","6","2023-11-09T11:17:03","2023-11-09T11:17:11","2023-11-09T11:23:57","2023-11-09T11:24:14","true"
"h1.8xlarge","r4.16xlarge","170","271984","25302","201","0","19128","0","35","0","0","0","35","37217","6","2023-11-09T11:17:02","2023-11-09T11:17:11","2023-11-09T11:42:46","2023-11-09T11:43:01","true"
"c6a.24xlarge","c5a.large","351","217549","14113","169","0","19128","0","35","0","0","0","35","22117","6","2023-11-09T11:17:02","2023-11-09T11:17:12","2023-11-09T11:39:42","2023-11-09T11:39:59","true"
"i3.large","m5zn.6xlarge","181","223120","14786","213","0","19128","0","36","0","0","0","36","37999","11","2023-11-09T11:17:03","2023-11-09T11:17:11","2023-11-09T11:36:22","2023-11-09T11:36:40","true"
"m5a.2xlarge","r4.large","208","246073","12219","281","0","19128","0","35","0","0","0","35","33183","7","2023-11-09T11:17:03","2023-11-09T11:17:11","2023-11-09T11:19:11","2023-11-09T11:19:28","true"
"m5a.8xlarge","m5a.large","251","231302","17872","273","0","19128","0","36","0","0","0","36","36035","8","2023-11-09T11:17:03","2023-11-09T11:17:11","2023-11-09T11:20:47","2023-11-09T11:21:04","true"
"m5n.large","h1.2xlarge","108","200913","13126","152","0","19128","0","37","0","0","0","37","41355","7","2023-11-09T12:18:41","2023-11-09T12:18:50","2023-11-09T12:28:13","2023-11-09T12:28:32","false"
"m5n.large","m5.large","108","200913","13126","152","0","19128","0","37","0","0","0","37","25816","4","2023-11-09T12:18:41","2023-11-09T12:18:50","2023-11-09T12:28:13","2023-11-09T12:28:33","true"
"i3.large","r4.large","181","223120","14786","213","0","19128","0","36","0","0","0","36","29050","8","2023-11-09T11:17:03","2023-11-09T11:17:11","2023-11-09T11:36:22","2023-11-09T11:36:40","true"
"c5a.24xlarge","c5.9xlarge","234","236976","12245","199","0","19128","0","35","0","0","0","35","41472","4","2023-11-09T11:17:02","2023-11-09T11:17:11","2023-11-09T11:38:06","2023-11-09T11:38:22","true"
