"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success"
"c6a.large","c6i.large","131","169974","12008","2483","0","4509","0","915","0","0","0","915","499211","2","2024-08-28T16:30:08","2024-08-28T16:30:16","2024-08-28T16:30:59","2024-08-28T16:31:13","true"
"r4.large","h1.8xlarge","189","224457","20331","3424","0","4509","0","915","0","0","0","915","68994","6","2024-08-28T15:17:16","2024-08-28T15:17:27","2024-08-28T15:36:02","2024-08-28T15:36:17","true"
"x1e.8xlarge","r4.8xlarge","169","246176","23515","3336","0","4510","0","914","0","0","0","914","97406","8","2024-08-28T15:17:17","2024-08-28T15:17:27","2024-08-28T15:46:41","2024-08-28T15:46:56","true"
"m5a.large","i3.large","215","236799","21982","4315","0","4509","0","915","0","0","0","915","100180","6","2024-08-28T15:17:16","2024-08-28T15:17:27","2024-08-28T15:18:00","2024-08-28T15:18:21","true"
"h1.2xlarge","h1.8xlarge","171","230160","15797","2862","0","4510","0","914","0","0","0","914","63380","6","2024-08-28T15:17:16","2024-08-28T15:17:27","2024-08-28T15:32:39","2024-08-28T15:33:03","true"
"m5a.2xlarge","c5.large","205","234272","20835","4179","0","4509","0","914","0","0","0","914","56188","4","2024-08-28T15:17:16","2024-08-28T15:17:27","2024-08-28T15:19:46","2024-08-28T15:20:03","true"
"x1e.xlarge","c5d.9xlarge","168","246859","22584","3260","0","4509","0","914","0","0","0","914","109562","4","2024-08-28T15:17:17","2024-08-28T15:17:27","2024-08-28T15:34:23","2024-08-28T15:34:41","true"
"c6a.large","h1.2xlarge","123","207754","20444","2522","0","4510","0","915","0","0","0","915","71398","7","2024-08-28T15:17:16","2024-08-28T15:17:26","2024-08-28T15:29:12","2024-08-28T15:29:30","true"
"r4.16xlarge","h1.2xlarge","164","285889","23094","2866","0","4509","0","914","0","0","0","914","74553","7","2024-08-28T15:17:16","2024-08-28T15:17:27","2024-08-28T15:51:26","2024-08-28T15:51:41","true"
"h1.8xlarge","m5a.2xlarge","164","233055","20612","2760","0","4509","0","914","0","0","0","914","94221","8","2024-08-28T15:17:17","2024-08-28T15:17:27","2024-08-28T15:43:42","2024-08-28T15:43:59","true"
"c5a.24xlarge","m4.large","336","257753","15917","3032","0","4509","0","915","0","0","0","915","80240","5","2024-08-28T15:17:17","2024-08-28T15:17:27","2024-08-28T15:39:14","2024-08-28T15:39:29","true"
"c6a.large","i3.large","123","207754","20444","2522","0","4510","0","915","0","0","0","915","65974","6","2024-08-28T15:17:16","2024-08-28T15:17:26","2024-08-28T15:29:12","2024-08-28T15:29:30","true"
"c5.9xlarge","r4.8xlarge","175","267182","24376","2788","0","4509","0","915","0","0","0","915","92905","7","2024-08-28T15:17:16","2024-08-28T15:17:27","2024-08-28T16:04:28","2024-08-28T16:04:43","false"
"h1.2xlarge","c6i.16xlarge","171","230160","15797","2862","0","4510","0","914","0","0","0","914","75903","7","2024-08-28T15:17:16","2024-08-28T15:17:27","2024-08-28T15:32:39","2024-08-28T15:33:03","true"
"m5n.large","r4.8xlarge","110","231131","19768","2331","0","4510","0","915","0","0","0","915","96347","8","2024-08-28T15:17:16","2024-08-28T15:17:27","2024-08-28T15:56:21","2024-08-28T15:56:36","false"
"c5.large","c5d.9xlarge","95","198886","19664","2214","0","4510","0","914","0","0","0","914","54202","10","2024-08-28T15:17:16","2024-08-28T15:17:27","2024-08-28T15:54:43","2024-08-28T15:54:59","true"
"r4.16xlarge","c5a.24xlarge","164","285889","23094","2866","0","4509","0","914","0","0","0","914","66837","6","2024-08-28T15:17:16","2024-08-28T15:17:27","2024-08-28T15:51:26","2024-08-28T15:51:41","false"
"c6a.large","m5a.large","123","207754","20444","2522","0","4510","0","915","0","0","0","915","71260","8","2024-08-28T15:17:16","2024-08-28T15:17:26","2024-08-28T15:29:12","2024-08-28T15:29:30","true"
"h1.16xlarge","c5d.9xlarge","169","255988","21324","2977","0","4509","0","915","0","0","0","915","65860","11","2024-08-28T15:17:17","2024-08-28T15:17:26","2024-08-28T15:45:13","2024-08-28T15:45:28","true"
"m5a.large","c5.large","215","236799","21982","4315","0","4509","0","915","0","0","0","915","77687","4","2024-08-28T15:17:16","2024-08-28T15:17:27","2024-08-28T15:17:59","2024-08-28T15:18:21","true"
"x1e.xlarge","x1e.8xlarge","168","246859","22584","3260","0","4509","0","914","0","0","0","914","61292","6","2024-08-28T15:17:17","2024-08-28T15:17:27","2024-08-28T15:34:24","2024-08-28T15:34:41","true"
"m5a.large","x1e.xlarge","215","236799","21982","4315","0","4509","0","915","0","0","0","915","103960","6","2024-08-28T15:17:16","2024-08-28T15:17:27","2024-08-28T15:18:00","2024-08-28T15:18:21","true"
"r4.8xlarge","c5a.large","188","273668","22965","2925","0","4509","0","915","0","0","0","915","118731","6","2024-08-28T15:17:16","2024-08-28T15:17:27","2024-08-28T15:49:51","2024-08-28T15:50:06","false"
"c5a.large","c6a.large","158","226212","19992","3017","0","4509","0","916","0","0","0","916","70885","13","2024-08-28T15:17:17","2024-08-28T15:17:27","2024-08-28T15:23:15","2024-08-28T15:27:43","true"
