"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success"
"m4.large","h1.16xlarge","324","744693","9656","458","0","2173","0","126","0","0","0","126","33493","5","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:35:50","2023-11-10T14:36:05","true"
"m4.large","x1e.8xlarge","324","744693","9656","458","0","2173","0","126","0","0","0","126","32138","6","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:35:50","2023-11-10T14:36:06","true"
"r4.16xlarge","m5n.large","179","814203","12166","485","0","2173","0","127","0","0","0","127","22715","5","2023-11-10T14:26:42","2023-11-10T14:26:51","2023-11-10T15:00:21","2023-11-10T15:00:36","true"
"x1e.8xlarge","r4.large","179","794123","11088","498","0","2173","0","126","0","0","0","126","32950","8","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:55:28","2023-11-10T14:55:44","true"
"c5.9xlarge","x1e.8xlarge","147","752602","18947","353","0","2173","0","126","0","0","0","126","31444","6","2023-11-10T14:26:42","2023-11-10T14:26:51","2023-11-10T15:13:20","2023-11-10T15:13:36","false"
"c6a.24xlarge","m5a.large","129","797370","10302","405","0","2173","0","127","0","0","0","127","33586","9","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:49:23","2023-11-10T14:49:39","true"
"h1.8xlarge","m4.16xlarge","160","786732","12017","427","0","2173","0","126","0","0","0","126","34818","6","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:52:29","2023-11-10T14:52:45","true"
"c5d.9xlarge","c5.large","149","797282","12214","351","0","2173","0","126","0","0","0","126","24729","3","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T15:10:05","2023-11-10T15:10:21","true"
"r4.large","m5.large","179","198417","14319","449","0","2173","0","126","0","0","0","126","51851","4","2023-11-10T14:26:42","2023-11-10T14:26:51","2023-11-10T14:40:26","2023-11-10T14:40:41","true"
"c5a.24xlarge","h1.2xlarge","280","787018","12822","477","0","2173","0","125","0","0","0","125","28092","7","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:47:46","2023-11-10T14:48:01","false"
"m5n.large","m5.large","111","181229","21504","355","0","2173","0","125","0","0","0","125","55084","5","2023-11-10T14:26:42","2023-11-10T14:26:51","2023-11-10T15:05:12","2023-11-10T15:05:27","true"
"m5a.8xlarge","c6a.large","221","812363","10990","658","0","2173","0","126","0","0","0","126","35654","5","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:30:56","2023-11-10T14:31:11","true"
"r4.16xlarge","x1e.xlarge","179","814203","12166","485","0","2173","0","127","0","0","0","127","27265","5","2023-11-10T14:26:42","2023-11-10T14:26:51","2023-11-10T15:00:21","2023-11-10T15:00:36","true"
"c6a.large","m5.large","130","777900","18054","395","0","2173","0","127","0","0","0","127","44627","4","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:34:08","2023-11-10T14:34:24","false"
"m5.large","c6i.large","105","789939","16566","360","0","2173","0","126","0","0","0","126","21754","3","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T15:06:49","2023-11-10T15:07:04","true"
"c6i.large","c4.8xlarge","75","773855","16056","254","0","2173","0","127","0","0","0","127","40522","5","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T15:01:58","2023-11-10T15:02:14","false"
"x1e.8xlarge","c5d.9xlarge","179","794123","11088","498","0","2173","0","126","0","0","0","126","30931","10","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:55:28","2023-11-10T14:55:44","true"
"h1.16xlarge","m5a.2xlarge","159","819692","16539","438","0","2173","0","127","0","0","0","127","34675","8","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:53:58","2023-11-10T14:54:14","true"
"r4.16xlarge","h1.8xlarge","179","814203","12166","485","0","2173","0","127","0","0","0","127","29051","6","2023-11-10T14:26:42","2023-11-10T14:26:51","2023-11-10T15:00:20","2023-11-10T15:00:36","true"
"c6a.24xlarge","x1e.8xlarge","129","797370","10302","405","0","2173","0","127","0","0","0","127","30067","6","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:49:23","2023-11-10T14:49:38","false"
"m4.16xlarge","c5.9xlarge","222","778185","9429","498","0","2173","0","126","0","0","0","126","26435","10","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:57:05","2023-11-10T14:57:20","true"
"m5a.2xlarge","r4.8xlarge","201","798130","19461","619","0","2173","0","126","0","0","0","126","37123","5","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:29:12","2023-11-10T14:29:30","false"
"m5.large","c6i.16xlarge","105","789939","16566","360","0","2173","0","126","0","0","0","126","56863","3","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T15:06:48","2023-11-10T15:07:04","true"
"c5.large","c4.8xlarge","102","774911","17807","317","0","2173","0","125","0","0","0","125","38071","5","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T15:03:35","2023-11-10T15:03:51","false"
"h1.8xlarge","c6i.large","160","786732","12017","427","0","2173","0","126","0","0","0","126","22029","2","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:52:29","2023-11-10T14:52:44","true"
"h1.8xlarge","r4.large","160","786732","12017","427","0","2173","0","126","0","0","0","126","32517","7","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:52:29","2023-11-10T14:52:45","true"
"r4.8xlarge","c6i.large","172","805287","17532","437","0","2173","0","126","0","0","0","126","26012","3","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T14:58:44","2023-11-10T14:58:59","true"
"c5d.9xlarge","m5.large","149","797282","12214","351","0","2173","0","126","0","0","0","126","54722","4","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T15:10:05","2023-11-10T15:10:21","true"
"m5n.large","c6a.large","111","181229","21504","355","0","2173","0","125","0","0","0","125","23466","5","2023-11-10T14:26:42","2023-11-10T14:26:51","2023-11-10T15:05:12","2023-11-10T15:05:27","false"
"m5.large","m5a.2xlarge","105","789939","16566","360","0","2173","0","126","0","0","0","126","31651","8","2023-11-10T14:26:41","2023-11-10T14:26:51","2023-11-10T15:06:49","2023-11-10T15:07:04","false"
