"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success","count1","count2"
"c6i.16xlarge","r4.16xlarge","11288","23436950","972400","847237","0","5697357","0","545745","0","0","0","545745","158967812","7","2023-09-20T21:32:54","2023-09-20T21:33:25","2023-09-20T21:34:11","2023-09-20T21:37:30","false","32","32"
"m4.large","m5a.2xlarge","533","430252402","209987569","209856054","0","2987976","0","467219","0","0","0","467219","134124661","5","2023-09-19T13:16:12","2023-09-19T13:24:00","2023-09-19T13:46:06","2023-09-19T13:48:40","true","6","12"
"c5a.large","c4.8xlarge","312","420354634","358157719","357961060","0","2910823","0","454355","0","0","0","454355","134401803","16","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:37:38","2023-09-19T13:40:15","true","14","24"
"m4.large","m5.large","533","430252402","209987569","209856054","0","2987976","0","467219","0","0","0","467219","138573529","4","2023-09-19T13:16:12","2023-09-19T13:24:00","2023-09-19T13:46:06","2023-09-19T13:48:40","true","6","12"
"h1.8xlarge","c6a.24xlarge","8829","22121156","1484012","1341811","0","4321288","0","502326","0","0","0","502326","67959824","3","2023-09-20T19:55:56","2023-09-20T19:56:28","2023-09-20T19:57:19","2023-09-20T19:58:48","true","26","94"
"m5a.large","c6i.16xlarge","496","18802562","7841003","7697540","0","2987871","0","467217","0","0","0","467217","29853304","10","2023-09-20T13:52:34","2023-09-20T13:53:01","2023-09-20T13:53:46","2023-09-20T13:54:42","true","6","19"
"c6a.24xlarge","m4.16xlarge","14694","457922296","18238924","18036237","0","6531956","0","580077","0","0","0","580077","173158010","7","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:11:37","2023-09-19T14:14:42","false","83","83"
"x1e.8xlarge","c5.9xlarge","9389","20839327","1517884","1375321","0","4104416","0","472222","0","0","0","472222","57286889","10","2023-09-20T20:20:28","2023-09-20T20:20:56","2023-09-20T20:21:32","2023-09-20T20:22:44","true","31","84"
"r4.large","c5.9xlarge","3696","430615138","13137289","13009246","0","2987941","0","467219","0","0","0","467219","138222962","10","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:58:36","2023-09-19T14:01:08","true","5","16"
"c6a.large","c5.9xlarge","281","438096493","385058900","384978231","0","3625092","0","484371","0","0","0","484371","144005627","11","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:41:52","2023-09-19T13:44:38","true","13","24"
