"API Name","Physical Processor","On Demand"
"r5ad.24xlarge","AMD EPYC 7571","$6.2880 hourly"
"r5a.24xlarge","AMD EPYC 7571","$5.4240 hourly"
"m5ad.24xlarge","AMD EPYC 7571","$4.9440 hourly"
"r5ad.16xlarge","AMD EPYC 7571","$4.1920 hourly"
"m5a.24xlarge","AMD EPYC 7571","$4.1280 hourly"
"r5a.16xlarge","AMD EPYC 7571","$3.6160 hourly"
"m5ad.16xlarge","AMD EPYC 7571","$3.2960 hourly"
"r5ad.12xlarge","AMD EPYC 7571","$3.1440 hourly"
"m5a.16xlarge","AMD EPYC 7571","$2.7520 hourly"
"r5a.12xlarge","AMD EPYC 7571","$2.7120 hourly"
"m5ad.12xlarge","AMD EPYC 7571","$2.4720 hourly"
"r5ad.8xlarge","AMD EPYC 7571","$2.0960 hourly"
"m5a.12xlarge","AMD EPYC 7571","$2.0640 hourly"
"r5a.8xlarge","AMD EPYC 7571","$1.8080 hourly"
"m5ad.8xlarge","AMD EPYC 7571","$1.6480 hourly"
"m5a.8xlarge","AMD EPYC 7571","$1.3760 hourly"
"r5ad.4xlarge","AMD EPYC 7571","$1.0480 hourly"
"r5a.4xlarge","AMD EPYC 7571","$0.9040 hourly"
"m5ad.4xlarge","AMD EPYC 7571","$0.8240 hourly"
"m5a.4xlarge","AMD EPYC 7571","$0.6880 hourly"
"r5ad.2xlarge","AMD EPYC 7571","$0.5240 hourly"
"r5a.2xlarge","AMD EPYC 7571","$0.4520 hourly"
"m5ad.2xlarge","AMD EPYC 7571","$0.4120 hourly"
"m5a.2xlarge","AMD EPYC 7571","$0.3440 hourly"
"t3a.2xlarge","AMD EPYC 7571","$0.3008 hourly"
"r5ad.xlarge","AMD EPYC 7571","$0.2620 hourly"
"r5a.xlarge","AMD EPYC 7571","$0.2260 hourly"
"m5ad.xlarge","AMD EPYC 7571","$0.2060 hourly"
"m5a.xlarge","AMD EPYC 7571","$0.1720 hourly"
"t3a.xlarge","AMD EPYC 7571","$0.1504 hourly"
"r5ad.large","AMD EPYC 7571","$0.1310 hourly"
"r5a.large","AMD EPYC 7571","$0.1130 hourly"
"m5ad.large","AMD EPYC 7571","$0.1030 hourly"
"m5a.large","AMD EPYC 7571","$0.0860 hourly"
"t3a.large","AMD EPYC 7571","$0.0752 hourly"
"t3a.medium","AMD EPYC 7571","$0.0376 hourly"
"t3a.small","AMD EPYC 7571","$0.0188 hourly"
"t3a.micro","AMD EPYC 7571","$0.0094 hourly"
"t3a.nano","AMD EPYC 7571","$0.0047 hourly"
"inf2.xlarge","AMD EPYC 7R13 Processor","unavailable"
"inf2.8xlarge","AMD EPYC 7R13 Processor","unavailable"
"inf2.24xlarge","AMD EPYC 7R13 Processor","unavailable"
"inf2.48xlarge","AMD EPYC 7R13 Processor","unavailable"
"r6a.48xlarge","AMD EPYC 7R13 Processor","$10.8864 hourly"
"r6a.metal","AMD EPYC 7R13 Processor","$10.8864 hourly"
"m6a.48xlarge","AMD EPYC 7R13 Processor","$8.2944 hourly"
"m6a.metal","AMD EPYC 7R13 Processor","$8.2944 hourly"
"c6a.48xlarge","AMD EPYC 7R13 Processor","$7.3440 hourly"
"c6a.metal","AMD EPYC 7R13 Processor","$7.3440 hourly"
"r6a.32xlarge","AMD EPYC 7R13 Processor","$7.2576 hourly"
"m6a.32xlarge","AMD EPYC 7R13 Processor","$5.5296 hourly"
"r6a.24xlarge","AMD EPYC 7R13 Processor","$5.4432 hourly"
"c6a.32xlarge","AMD EPYC 7R13 Processor","$4.8960 hourly"
"m6a.24xlarge","AMD EPYC 7R13 Processor","$4.1472 hourly"
"c6a.24xlarge","AMD EPYC 7R13 Processor","$3.6720 hourly"
"r6a.16xlarge","AMD EPYC 7R13 Processor","$3.6288 hourly"
"m6a.16xlarge","AMD EPYC 7R13 Processor","$2.7648 hourly"
"r6a.12xlarge","AMD EPYC 7R13 Processor","$2.7216 hourly"
"c6a.16xlarge","AMD EPYC 7R13 Processor","$2.4480 hourly"
"m6a.12xlarge","AMD EPYC 7R13 Processor","$2.0736 hourly"
"c6a.12xlarge","AMD EPYC 7R13 Processor","$1.8360 hourly"
"r6a.8xlarge","AMD EPYC 7R13 Processor","$1.8144 hourly"
"m6a.8xlarge","AMD EPYC 7R13 Processor","$1.3824 hourly"
"c6a.8xlarge","AMD EPYC 7R13 Processor","$1.2240 hourly"
"r6a.4xlarge","AMD EPYC 7R13 Processor","$0.9072 hourly"
"m6a.4xlarge","AMD EPYC 7R13 Processor","$0.6912 hourly"
"c6a.4xlarge","AMD EPYC 7R13 Processor","$0.6120 hourly"
"r6a.2xlarge","AMD EPYC 7R13 Processor","$0.4536 hourly"
"m6a.2xlarge","AMD EPYC 7R13 Processor","$0.3456 hourly"
"c6a.2xlarge","AMD EPYC 7R13 Processor","$0.3060 hourly"
"r6a.xlarge","AMD EPYC 7R13 Processor","$0.2268 hourly"
"m6a.xlarge","AMD EPYC 7R13 Processor","$0.1728 hourly"
"c6a.xlarge","AMD EPYC 7R13 Processor","$0.1530 hourly"
"r6a.large","AMD EPYC 7R13 Processor","$0.1134 hourly"
"m6a.large","AMD EPYC 7R13 Processor","$0.0864 hourly"
"c6a.large","AMD EPYC 7R13 Processor","$0.0765 hourly"
"g5.48xlarge","AMD EPYC 7R32","$16.2880 hourly"
"g5.24xlarge","AMD EPYC 7R32","$8.1440 hourly"
"g5.12xlarge","AMD EPYC 7R32","$5.6720 hourly"
